threshold,accuracy,precision,recall,f1,tp,fp,fn,tn,num_samples
0.35,0.8572903225806452,0.8977702702702702,0.95002145002145,0.9231570902522059,13287,1513,699,1,15500
0.4,0.7965161290322581,0.8913294797687862,0.882024882024882,0.8866527707899087,12336,1504,1650,10,15500
0.5,0.588,0.8639846743295019,0.6449306449306449,0.7385572750347988,9020,1420,4966,94,15500
0.6,0.36516129032258066,0.8432119205298013,0.36414986414986417,0.5086387695995207,5093,947,8893,567,15500
