technique,score_threshold_rule,truth_threshold_rule,accuracy,precision,recall,f1
rule_based,mean,mean,0.3569032258064516,0.373859649122807,0.24982415005861663,0.29950808151791986
inference_based,mean,mean,0.3514838709677419,0.41655701754385965,0.445369284876905,0.4304815864022663
semantic_based,mean,mean,0.6114838709677419,0.65675,0.6159437280187573,0.6356926799758016
similarity_based,mean,mean,0.34361290322580645,0.3906914893617021,0.34443141852286047,0.3661059190031153
mlaas_based,mean,mean,0.3007741935483871,0.2901818181818182,0.18710433763188747,0.22751247327156093
CATTM,mean_minus_16pct,mean_minus_16pct,0.8718064516129033,0.9503100775193798,0.9010657846380007,0.9250330126391246
