adapted_case,adapted_client,corruption,severity,chunk_id,chunk_start,chunk_end,chunk_size,composition_name,performing_clients,performing_size,raw_wdm,raw_ucs,raw_bnuas,raw_bndas,raw_pdam,wasserstein_distance,aligned_wdm,aligned_ucs,aligned_bnuas,aligned_bndas,aligned_pdam,scaled_wdm,scaled_ucs,scaled_bnuas,scaled_bndas,scaled_pdam,ttaas,composition_accuracy_on_chunk,aggregated_accuracy_on_chunk,ground_truth_composable,predicted_at_0_35,correct_at_0_35,predicted_at_0_4,correct_at_0_4,predicted_at_0_5,correct_at_0_5,predicted_at_0_6,correct_at_0_6
client_0_brightness,client_0,brightness,1,0,0,500,500,C1,client_0,1,1.2516975402832031e-06,-0.9888668693602085,5.99993360042572,0.822708249092102,0.0,0.8220409154891968,0.9999987483024597,-0.9888668693602085,5.99993360042572,0.822708249092102,0.0,0.9999846392528533,0.2824414297200424,0.999885120192998,0.9342593082910996,1.0,0.8433140994913988,0.5820000171661377,0.5759999752044678,False,True,False,True,False,True,False,True,False
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2,"client_0,client_1",2,0.0006096959114074707,-1.0451186045538634,5.99021714925766,0.6053282618522644,0.0,1.010474681854248,0.9993903040885925,-1.0451186045538634,5.99021714925766,0.6053282618522644,0.0,0.8431821323789189,0.26985897896572264,0.8535794034866021,0.584709456527443,1.0,0.7102659942717373,0.5879999995231628,0.6039999723434448,True,True,True,True,True,True,True,True,True
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C3,"client_0,client_1,client_2",3,0.0013117194175720215,-1.0391987655311823,5.97853821516037,0.5437247157096863,0.0,1.3402866125106812,0.998688280582428,-1.0391987655311823,5.97853821516037,0.5437247157096863,0.0,0.6622632524846008,0.2711831351489934,0.6777235489244378,0.48565015168676495,1.0,0.6193640176489594,0.5720000267028809,0.5759999752044678,True,True,True,True,True,True,True,True,True
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C3_C4,"client_0,client_1,client_2,client_3",4,0.001384735107421875,0.2616027956828475,5.978227019309998,0.5375639200210571,0.0,1.1034047603607178,0.9986152648925781,0.2616027956828475,5.978227019309998,0.5375639200210571,0.0,0.6434463372298429,0.5621478765702316,0.6730377092966484,0.4757435119493612,1.0,0.6708750870092168,0.5799999833106995,0.5860000252723694,True,True,True,True,True,True,True,True,True
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C3_C4_C5,"client_0,client_1,client_2,client_3,client_4",5,0.0015123486518859863,-0.46297410130500793,5.974760830402374,0.5310244560241699,0.0,1.2423509359359741,0.998487651348114,-0.46297410130500793,5.974760830402374,0.5310244560241699,0.0,0.61055897758867,0.4000737095657642,0.6208454794795945,0.4652279686385427,1.0,0.6193412270545143,0.5820000171661377,0.578000009059906,False,True,False,True,False,True,False,True,False
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C3_C5,"client_0,client_1,client_2,client_4",4,0.0014917254447937012,-1.0321839824318886,5.9739890694618225,0.5292366147041321,0.0,1.4514613151550293,0.9985082745552063,-1.0321839824318886,5.9739890694618225,0.5292366147041321,0.0,0.6158737961014423,0.27275220964234437,0.6092246690025561,0.46235309650182355,1.0,0.5920407542496333,0.5699999928474426,0.5839999914169312,True,True,True,True,True,True,True,False,False
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C4,"client_0,client_1,client_3",3,0.001037299633026123,0.1942330151796341,5.984443247318268,0.5583284497261047,0.0,0.8072449564933777,0.9989627003669739,0.1942330151796341,5.984443247318268,0.5583284497261047,0.0,0.7329841323481974,0.5470785290631234,0.7666387245469427,0.5091331462597789,1.0,0.7111669064436085,0.6019999980926514,0.6140000224113464,True,True,True,True,True,True,True,True,True
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C4_C5,"client_0,client_1,client_3,client_4",4,0.0013421177864074707,-0.5752768851816654,5.976687133312225,0.5397823452949524,0.0,1.0728228092193604,0.9986578822135925,-0.5752768851816654,5.976687133312225,0.5397823452949524,0.0,0.6544292714397628,0.37495369783925586,0.649850835750596,0.479310768694037,1.0,0.6317089147447303,0.578000009059906,0.6000000238418579,True,True,True,True,True,True,True,True,True
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C5,"client_0,client_1,client_4",3,0.0012339949607849121,-1.1085803643800318,5.976167261600494,0.5421916842460632,0.0,1.3151919841766357,0.9987660050392151,-1.1085803643800318,5.976167261600494,0.5421916842460632,0.0,0.6822936667639514,0.255663781874535,0.6420228539016054,0.48318501711912315,1.0,0.6126330639318429,0.5860000252723694,0.6000000238418579,True,True,True,True,True,True,True,True,True
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C3,"client_0,client_2",2,0.0012574195861816406,-1.013748686760664,5.9808725118637085,0.5552079677581787,0.0,1.3721091747283936,0.9987425804138184,-1.013748686760664,5.9808725118637085,0.5552079677581787,0.0,0.6762568931352821,0.2768758371024742,0.7128722823745656,0.5041153705980467,1.0,0.6340240766420737,0.5640000104904175,0.5759999752044678,True,True,True,True,True,True,True,True,True
