threshold,accuracy,precision,recall,f1,tp,fp,fn,tn,num_samples
0.35,0.7949677419354839,0.821975806451613,0.9585423197492163,0.8850217076700435,12231,2649,529,91,15500
0.4,0.7616774193548387,0.8242489270386266,0.9030564263322884,0.861854899027674,11523,2457,1237,283,15500
0.5,0.6259354838709678,0.8136036036036036,0.7077586206896552,0.7569991617770327,9031,2069,3729,671,15500
0.6,0.4228387096774194,0.7670868347338936,0.4292319749216301,0.5504522613065327,5477,1663,7283,1077,15500
