tta_method,case,performing_length,tta_corruption,deployment_accuracy,data_shift_accuracy,initial_mixed_accuracy,composition_tta_clean_accuracy,composition_tta_mixed_accuracy,protected_v2_mixed_accuracy,stmu_clean_accuracy,stmu_mixed_accuracy,substitution_20_random_accuracy,substitution_50_random_accuracy
tent,perf_4_plus_1_on_glass_blur,1,glass_blur,0.9666666666666667,0.7428571428571429,0.81,1.0,0.89,0.86,1.0,0.8,0.81,0.89
tent,perf_0_2_plus_1_on_glass_blur,2,glass_blur,1.0,0.7571428571428571,0.83,1.0,0.9,0.85,1.0,0.84,0.83,0.89
tent,perf_0_4_plus_1_on_glass_blur,2,glass_blur,0.9666666666666667,0.7571428571428571,0.82,1.0,0.88,0.85,1.0,0.84,0.83,0.74
tent,perf_2_4_plus_1_on_glass_blur,2,glass_blur,0.9666666666666667,0.7857142857142857,0.84,1.0,0.92,0.86,1.0,0.8,0.81,0.8
tent,perf_4_plus_1_on_stripe,1,stripe,0.9666666666666667,0.8428571428571429,0.88,1.0,0.94,0.88,1.0,0.86,0.64,0.39
tent,perf_0_4_plus_1_on_stripe,2,stripe,0.9666666666666667,0.8428571428571429,0.88,1.0,0.93,0.89,1.0,0.86,0.91,0.99
tent,perf_2_4_plus_1_on_stripe,2,stripe,0.9666666666666667,0.8714285714285714,0.9,1.0,0.95,0.91,1.0,0.92,0.91,0.91
tent,perf_0_4_plus_1_on_zigzag,2,zigzag,0.9666666666666667,0.8428571428571429,0.88,1.0,0.89,0.89,1.0,0.84,0.83,0.78
tent,perf_1_plus_2_on_brightness,1,brightness,1.0,0.3,0.51,0.9666666666666667,0.79,0.55,0.9666666666666667,0.3,0.97,0.97
tent,perf_4_plus_2_on_brightness,1,brightness,1.0,0.32857142857142857,0.53,1.0,0.9,0.57,0.9666666666666667,0.3,0.97,0.81
tent,perf_0_1_plus_2_on_brightness,2,brightness,1.0,0.2857142857142857,0.5,1.0,0.81,0.53,0.9666666666666667,0.3,0.37,0.97
tent,perf_0_4_plus_2_on_brightness,2,brightness,1.0,0.2714285714285714,0.49,1.0,0.89,0.52,1.0,0.31,0.85,0.81
tent,perf_1_3_plus_2_on_brightness,2,brightness,1.0,0.22857142857142856,0.46,1.0,0.77,0.49,0.9666666666666667,0.3,0.37,0.9
tent,perf_1_4_plus_2_on_brightness,2,brightness,0.9666666666666667,0.35714285714285715,0.54,0.9666666666666667,0.87,0.58,0.9666666666666667,0.3,0.37,0.97
tent,perf_0_1_3_plus_2_on_brightness,3,brightness,1.0,0.22857142857142856,0.46,1.0,0.83,0.48,0.9666666666666667,0.3,0.97,0.29
tent,perf_1_3_4_plus_2_on_brightness,3,brightness,1.0,0.2714285714285714,0.49,1.0,0.85,0.52,0.9666666666666667,0.3,0.85,0.29
tent,perf_0_1_3_4_plus_2_on_brightness,4,brightness,1.0,0.2714285714285714,0.49,1.0,0.86,0.52,1.0,0.31,0.85,0.81
tent,perf_0_4_plus_2_on_glass_blur,2,glass_blur,1.0,0.7857142857142857,0.85,1.0,0.88,0.87,1.0,0.84,0.85,0.8
tent,perf_1_3_plus_2_on_glass_blur,2,glass_blur,1.0,0.8285714285714286,0.88,1.0,0.9,0.89,1.0,0.84,0.87,0.89
tent,perf_0_3_4_plus_2_on_glass_blur,3,glass_blur,1.0,0.8285714285714286,0.88,1.0,0.92,0.89,1.0,0.83,0.87,0.74
tent,perf_1_3_4_plus_2_on_glass_blur,3,glass_blur,1.0,0.8285714285714286,0.88,1.0,0.91,0.89,0.9666666666666667,0.81,0.85,0.51
tent,perf_0_1_3_4_plus_2_on_glass_blur,4,glass_blur,1.0,0.8285714285714286,0.88,1.0,0.91,0.88,0.9666666666666667,0.59,0.85,0.8
tent,perf_3_plus_2_on_stripe,1,stripe,1.0,0.8714285714285714,0.91,1.0,0.94,0.95,1.0,0.95,0.88,0.8
tent,perf_1_3_plus_2_on_stripe,2,stripe,1.0,0.8714285714285714,0.91,1.0,0.96,0.93,1.0,0.96,0.88,0.91
tent,perf_1_plus_2_on_zigzag,1,zigzag,1.0,0.8142857142857143,0.87,0.9666666666666667,0.88,0.88,0.9666666666666667,0.86,0.96,0.78
tent,perf_4_plus_2_on_zigzag,1,zigzag,1.0,0.7857142857142857,0.85,1.0,0.87,0.86,1.0,0.79,0.83,0.57
tent,perf_0_4_plus_2_on_zigzag,2,zigzag,1.0,0.8142857142857143,0.87,1.0,0.89,0.89,1.0,0.84,0.76,0.78
tent,perf_1_3_plus_2_on_zigzag,2,zigzag,1.0,0.8142857142857143,0.87,1.0,0.88,0.88,1.0,0.89,0.76,0.8
tent,perf_1_4_plus_2_on_zigzag,2,zigzag,0.9666666666666667,0.8285714285714286,0.87,0.9666666666666667,0.88,0.88,0.9666666666666667,0.88,0.83,0.78
tent,perf_0_1_3_plus_2_on_zigzag,3,zigzag,1.0,0.8142857142857143,0.87,1.0,0.88,0.88,1.0,0.88,0.96,0.97
tent,perf_1_3_4_plus_2_on_zigzag,3,zigzag,1.0,0.8142857142857143,0.87,1.0,0.89,0.88,1.0,0.89,0.96,0.57
tent,perf_0_1_3_4_plus_2_on_zigzag,4,zigzag,1.0,0.8142857142857143,0.87,1.0,0.89,0.88,1.0,0.89,0.83,0.97
tent,perf_0_plus_3_on_brightness,1,brightness,1.0,0.2,0.44,1.0,0.79,0.47,1.0,0.31,0.97,0.9
tent,perf_1_plus_3_on_brightness,1,brightness,1.0,0.2571428571428571,0.48,0.9666666666666667,0.79,0.56,0.9666666666666667,0.3,0.97,0.81
tent,perf_2_plus_3_on_brightness,1,brightness,1.0,0.18571428571428572,0.43,1.0,0.73,0.46,1.0,0.31,0.85,0.81
tent,perf_4_plus_3_on_brightness,1,brightness,1.0,0.2571428571428571,0.48,1.0,0.9,0.56,0.9666666666666667,0.3,0.85,0.9
tent,perf_0_1_plus_3_on_brightness,2,brightness,1.0,0.2571428571428571,0.48,1.0,0.81,0.52,0.9666666666666667,0.3,0.97,0.9
tent,perf_0_2_plus_3_on_brightness,2,brightness,1.0,0.2,0.44,1.0,0.82,0.45,1.0,0.31,0.85,0.9
tent,perf_0_4_plus_3_on_brightness,2,brightness,1.0,0.22857142857142856,0.46,1.0,0.89,0.51,1.0,0.31,0.85,0.9
tent,perf_1_2_plus_3_on_brightness,2,brightness,1.0,0.22857142857142856,0.46,1.0,0.76,0.51,1.0,0.31,0.85,0.9
tent,perf_1_4_plus_3_on_brightness,2,brightness,1.0,0.3142857142857143,0.52,0.9666666666666667,0.87,0.58,0.9666666666666667,0.3,0.37,0.97
tent,perf_2_4_plus_3_on_brightness,2,brightness,1.0,0.2571428571428571,0.48,1.0,0.88,0.53,1.0,0.31,0.97,0.97
tent,perf_0_1_2_plus_3_on_brightness,3,brightness,1.0,0.22857142857142856,0.46,1.0,0.81,0.49,1.0,0.31,0.85,0.29
tent,perf_0_2_4_plus_3_on_brightness,3,brightness,1.0,0.22857142857142856,0.46,1.0,0.88,0.49,1.0,0.31,0.37,0.29
tent,perf_1_2_4_plus_3_on_brightness,3,brightness,1.0,0.2714285714285714,0.49,1.0,0.87,0.54,0.9666666666666667,0.3,0.97,0.97
tent,perf_0_1_2_4_plus_3_on_brightness,4,brightness,1.0,0.2714285714285714,0.49,1.0,0.88,0.53,1.0,0.31,0.97,0.97
tent,perf_0_2_plus_3_on_stripe,2,stripe,1.0,0.8857142857142857,0.92,1.0,0.94,0.92,1.0,0.92,0.88,0.8
tent,perf_2_4_plus_3_on_stripe,2,stripe,1.0,0.8857142857142857,0.92,1.0,0.95,0.91,1.0,0.92,0.64,0.39
tent,perf_0_1_2_plus_3_on_stripe,3,stripe,1.0,0.8714285714285714,0.91,1.0,0.94,0.92,1.0,0.92,0.98,0.99
tent,perf_0_4_plus_3_on_zigzag,2,zigzag,1.0,0.8,0.86,1.0,0.89,0.89,1.0,0.84,0.96,0.8
tent,perf_1_4_plus_3_on_zigzag,2,zigzag,1.0,0.8142857142857143,0.87,0.9666666666666667,0.88,0.88,0.9666666666666667,0.88,0.83,0.86
tent,perf_0_1_2_plus_3_on_zigzag,3,zigzag,1.0,0.8142857142857143,0.87,1.0,0.88,0.88,1.0,0.88,0.83,0.8
tent,perf_0_1_2_4_plus_3_on_zigzag,4,zigzag,1.0,0.8142857142857143,0.87,1.0,0.88,0.88,1.0,0.89,0.96,0.86
tent,perf_1_2_plus_4_on_glass_blur,2,glass_blur,0.9666666666666667,0.7857142857142857,0.84,1.0,0.9,0.85,0.9333333333333333,0.69,0.83,0.8
tent,perf_0_2_3_plus_4_on_glass_blur,3,glass_blur,1.0,0.8285714285714286,0.88,1.0,0.92,0.89,1.0,0.87,0.87,0.76
tent,perf_0_1_2_3_plus_4_on_glass_blur,4,glass_blur,1.0,0.8285714285714286,0.88,1.0,0.92,0.89,1.0,0.83,0.83,0.76
tent,perf_1_plus_4_on_stripe,1,stripe,0.9666666666666667,0.8428571428571429,0.88,0.9666666666666667,0.89,0.9,0.9666666666666667,0.88,0.88,0.99
tent,perf_3_plus_4_on_stripe,1,stripe,1.0,0.8714285714285714,0.91,1.0,0.94,0.95,1.0,0.95,0.94,0.99
tent,perf_1_2_plus_4_on_stripe,2,stripe,0.9666666666666667,0.8714285714285714,0.9,1.0,0.97,0.91,0.9666666666666667,0.91,0.94,0.91
tent,perf_1_3_plus_4_on_stripe,2,stripe,1.0,0.8714285714285714,0.91,1.0,0.96,0.94,1.0,0.96,0.88,0.39
tent,perf_0_3_plus_4_on_zigzag,2,zigzag,1.0,0.8,0.86,1.0,0.9,0.88,1.0,0.91,0.83,0.57
tent,perf_1_3_plus_4_on_zigzag,2,zigzag,1.0,0.8142857142857143,0.87,1.0,0.88,0.88,1.0,0.89,0.83,0.97
tta_bn,perf_1_plus_0_on_brightness,1,brightness,0.9666666666666667,0.32857142857142857,0.52,0.3333333333333333,0.78,0.56,0.9666666666666667,0.3,0.97,0.9
tta_bn,perf_1_4_plus_0_on_brightness,2,brightness,0.9666666666666667,0.35714285714285715,0.54,0.4,0.79,0.58,0.9666666666666667,0.3,0.97,0.9
tta_bn,perf_2_4_plus_0_on_brightness,2,brightness,1.0,0.2714285714285714,0.49,0.5333333333333333,0.85,0.53,1.0,0.31,0.85,0.81
tta_bn,perf_3_4_plus_0_on_brightness,2,brightness,1.0,0.22857142857142856,0.46,0.4,0.81,0.48,1.0,0.31,0.37,0.81
tta_bn,perf_2_3_4_plus_0_on_brightness,3,brightness,1.0,0.22857142857142856,0.46,0.4666666666666667,0.83,0.48,1.0,0.31,0.97,0.9
tta_bn,perf_1_2_plus_0_on_glass_blur,2,glass_blur,1.0,0.7571428571428571,0.83,1.0,0.92,0.85,0.9333333333333333,0.69,0.81,0.76
tta_bn,perf_1_plus_0_on_stripe,1,stripe,0.9666666666666667,0.8428571428571429,0.88,0.36666666666666664,0.57,0.9,0.9666666666666667,0.88,0.64,0.39
tta_bn,perf_3_plus_0_on_stripe,1,stripe,1.0,0.8714285714285714,0.91,0.4,0.53,0.95,1.0,0.95,0.91,0.94
tta_bn,perf_1_3_plus_0_on_stripe,2,stripe,1.0,0.8714285714285714,0.91,0.43333333333333335,0.59,0.94,1.0,0.96,0.91,0.91
tta_bn,perf_1_plus_0_on_zigzag,1,zigzag,0.9666666666666667,0.8285714285714286,0.87,0.9666666666666667,0.9,0.88,0.9666666666666667,0.86,0.83,0.97
tta_bn,perf_2_3_4_plus_0_on_zigzag,3,zigzag,1.0,0.8285714285714286,0.88,1.0,0.9,0.89,1.0,0.89,0.83,0.78
tta_bn,perf_0_4_plus_1_on_brightness,2,brightness,0.9666666666666667,0.35714285714285715,0.54,0.36666666666666664,0.78,0.52,1.0,0.31,0.97,0.29
tta_bn,perf_0_plus_1_on_glass_blur,1,glass_blur,0.9666666666666667,0.7571428571428571,0.82,1.0,0.83,0.83,1.0,0.8,0.87,0.51
tta_bn,perf_4_plus_1_on_glass_blur,1,glass_blur,0.9666666666666667,0.7428571428571429,0.81,1.0,0.9,0.86,1.0,0.8,0.87,0.74
tta_bn,perf_0_2_plus_1_on_glass_blur,2,glass_blur,1.0,0.7571428571428571,0.83,1.0,0.92,0.85,1.0,0.84,0.83,0.89
tta_bn,perf_0_4_plus_1_on_glass_blur,2,glass_blur,0.9666666666666667,0.7571428571428571,0.82,1.0,0.89,0.87,1.0,0.84,0.85,0.8
tta_bn,perf_2_4_plus_1_on_glass_blur,2,glass_blur,0.9666666666666667,0.7857142857142857,0.84,1.0,0.9,0.86,1.0,0.8,0.83,0.51
