tta_method,case,performing_length,tta_corruption,deployment_accuracy,data_shift_accuracy,initial_mixed_accuracy,composition_tta_clean_accuracy,composition_tta_mixed_accuracy,protected_v2_mixed_accuracy,stmu_clean_accuracy,stmu_mixed_accuracy,substitution_20_random_accuracy,substitution_50_random_accuracy
tta_memo,perf_0_1_3_4_plus_2_on_zigzag,4,zigzag,1.0,0.8142857142857143,0.87,1.0,0.89,0.88,1.0,0.89,0.96,0.78
tta_memo,perf_0_plus_3_on_brightness,1,brightness,1.0,0.2,0.44,1.0,0.61,0.45,1.0,0.31,0.97,0.97
tta_memo,perf_1_plus_3_on_brightness,1,brightness,1.0,0.2571428571428571,0.48,0.9666666666666667,0.64,0.56,0.9666666666666667,0.3,0.37,0.81
tta_memo,perf_2_plus_3_on_brightness,1,brightness,1.0,0.18571428571428572,0.43,1.0,0.54,0.44,1.0,0.31,0.97,0.97
tta_memo,perf_4_plus_3_on_brightness,1,brightness,1.0,0.2571428571428571,0.48,1.0,0.71,0.55,0.9666666666666667,0.3,0.37,0.81
tta_memo,perf_0_1_plus_3_on_brightness,2,brightness,1.0,0.2571428571428571,0.48,0.9666666666666667,0.6,0.52,0.9666666666666667,0.3,0.37,0.29
tta_memo,perf_0_2_plus_3_on_brightness,2,brightness,1.0,0.2,0.44,1.0,0.56,0.45,1.0,0.31,0.97,0.97
tta_memo,perf_0_4_plus_3_on_brightness,2,brightness,1.0,0.22857142857142856,0.46,1.0,0.68,0.52,1.0,0.31,0.85,0.81
tta_memo,perf_1_2_plus_3_on_brightness,2,brightness,1.0,0.22857142857142856,0.46,0.9666666666666667,0.58,0.51,1.0,0.31,0.97,0.9
tta_memo,perf_1_4_plus_3_on_brightness,2,brightness,1.0,0.3142857142857143,0.52,0.9666666666666667,0.66,0.58,0.9666666666666667,0.3,0.85,0.97
tta_memo,perf_2_4_plus_3_on_brightness,2,brightness,1.0,0.2571428571428571,0.48,1.0,0.62,0.53,1.0,0.31,0.85,0.81
tta_memo,perf_0_1_2_plus_3_on_brightness,3,brightness,1.0,0.22857142857142856,0.46,1.0,0.58,0.5,1.0,0.31,0.97,0.81
tta_memo,perf_0_2_4_plus_3_on_brightness,3,brightness,1.0,0.22857142857142856,0.46,1.0,0.6,0.49,1.0,0.31,0.85,0.9
tta_memo,perf_1_2_4_plus_3_on_brightness,3,brightness,1.0,0.2714285714285714,0.49,0.9666666666666667,0.6,0.54,0.9666666666666667,0.3,0.97,0.97
tta_memo,perf_0_1_2_4_plus_3_on_brightness,4,brightness,1.0,0.2714285714285714,0.49,1.0,0.6,0.53,1.0,0.31,0.85,0.97
tta_memo,perf_0_2_plus_3_on_stripe,2,stripe,1.0,0.8857142857142857,0.92,1.0,0.93,0.92,1.0,0.92,0.98,0.8
tta_memo,perf_2_4_plus_3_on_stripe,2,stripe,1.0,0.8857142857142857,0.92,1.0,0.94,0.91,1.0,0.92,0.94,0.91
tta_memo,perf_0_1_2_plus_3_on_stripe,3,stripe,1.0,0.8714285714285714,0.91,1.0,0.94,0.92,1.0,0.92,0.91,0.8
tta_memo,perf_0_2_4_plus_3_on_stripe,3,stripe,1.0,0.8714285714285714,0.91,1.0,0.92,0.92,1.0,0.92,0.88,0.8
tta_memo,perf_0_1_2_4_plus_3_on_stripe,4,stripe,1.0,0.8714285714285714,0.91,1.0,0.94,0.92,1.0,0.92,0.91,0.91
tta_memo,perf_0_4_plus_3_on_zigzag,2,zigzag,1.0,0.8,0.86,1.0,0.89,0.89,1.0,0.84,0.76,0.97
tta_memo,perf_1_4_plus_3_on_zigzag,2,zigzag,1.0,0.8142857142857143,0.87,0.9666666666666667,0.88,0.88,0.9666666666666667,0.88,0.83,0.57
tta_memo,perf_0_1_2_plus_3_on_zigzag,3,zigzag,1.0,0.8142857142857143,0.87,1.0,0.88,0.88,1.0,0.88,0.83,0.57
tta_memo,perf_0_1_2_4_plus_3_on_zigzag,4,zigzag,1.0,0.8142857142857143,0.87,1.0,0.88,0.88,1.0,0.89,0.83,0.78
tta_memo,perf_1_2_plus_4_on_glass_blur,2,glass_blur,0.9666666666666667,0.7857142857142857,0.84,1.0,0.86,0.85,0.9333333333333333,0.69,0.87,0.89
tta_memo,perf_0_2_3_plus_4_on_glass_blur,3,glass_blur,1.0,0.8285714285714286,0.88,1.0,0.89,0.89,1.0,0.87,0.85,0.51
tta_memo,perf_0_1_2_3_plus_4_on_glass_blur,4,glass_blur,1.0,0.8285714285714286,0.88,1.0,0.89,0.89,1.0,0.83,0.83,0.8
tta_memo,perf_1_plus_4_on_stripe,1,stripe,0.9666666666666667,0.8428571428571429,0.88,0.9666666666666667,0.92,0.9,0.9666666666666667,0.88,0.88,0.39
tta_memo,perf_3_plus_4_on_stripe,1,stripe,1.0,0.8714285714285714,0.91,1.0,0.96,0.95,1.0,0.95,0.91,0.91
tta_memo,perf_1_2_plus_4_on_stripe,2,stripe,0.9666666666666667,0.8714285714285714,0.9,1.0,0.93,0.91,0.9666666666666667,0.91,0.98,0.94
tta_memo,perf_1_3_plus_4_on_stripe,2,stripe,1.0,0.8714285714285714,0.91,1.0,0.95,0.94,1.0,0.96,0.64,0.39
tta_memo,perf_0_3_plus_4_on_zigzag,2,zigzag,1.0,0.8,0.86,1.0,0.89,0.88,1.0,0.91,0.83,0.86
tta_memo,perf_1_3_plus_4_on_zigzag,2,zigzag,1.0,0.8142857142857143,0.87,1.0,0.88,0.88,1.0,0.89,0.83,0.8
tta_memo,perf_0_1_2_3_plus_4_on_zigzag,4,zigzag,1.0,0.8142857142857143,0.87,1.0,0.88,0.88,1.0,0.88,0.83,0.97
