threshold,accuracy,precision,recall,f1,tp,fp,fn,tn,num_samples
0.35,0.8847096774193548,0.9203355704697986,0.9580800670718926,0.9388286037038304,13713,1187,600,0,15500
0.4,0.8330967741935484,0.9158156028368795,0.9021868231677496,0.9089501284623236,12913,1187,1400,0,15500
0.5,0.6254838709677419,0.8938888888888888,0.6744917208132467,0.7688448214072392,9654,1146,4659,41,15500
0.6,0.32225806451612904,0.8474452554744526,0.3244602808635506,0.469256807962411,4644,836,9669,351,15500
