method,ratio_label,clean_ratio,corruption_ratio,composition_name,corruption_category,healthy_accuracy,degraded_accuracy,after_adaptation_accuracy,recovery_ratio
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1,fog,0.9863,0.816,0.955,0.8162066940692896
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1,translate,0.9863,0.902,0.852,0.0
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1,stripe,0.9863,0.962,0.971,0.3703703703703709
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1,zigzag,0.9863,0.956,0.974,0.5940594059405947
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1,spatter,0.9863,0.982,0.972,0.0
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2,fog,0.9878,0.816,0.859,0.2502910360884751
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2,translate,0.9878,0.905,0.932,0.32608695652173947
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2,stripe,0.9878,0.967,0.968,0.048076923076923024
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2,zigzag,0.9878,0.961,0.965,0.14925373134328346
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2,spatter,0.9878,0.98,0.977,0.0
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C3,fog,0.9896,0.828,0.843,0.09282178217821786
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C3,translate,0.9896,0.915,0.923,0.10723860589812342
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C3,stripe,0.9896,0.975,0.978,0.2054794520547939
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C3,zigzag,0.9896,0.962,0.965,0.10869565217391287
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C3,spatter,0.9896,0.985,0.977,0.0
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C4,fog,0.9905,0.824,0.833,0.05405405405405407
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C4,translate,0.9905,0.913,0.916,0.03870967741935487
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C4,stripe,0.9905,0.983,0.979,0.0
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C4,zigzag,0.9905,0.963,0.974,0.3999999999999992
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C4,spatter,0.9905,0.984,0.985,0.15384615384615252
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C5,fog,0.9899,0.823,0.838,0.08987417615338532
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C5,translate,0.9899,0.908,0.917,0.10989010989011003
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C5,stripe,0.9899,0.974,0.969,0.0
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C5,zigzag,0.9899,0.959,0.962,0.09708737864077667
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C2_C5,spatter,0.9899,0.98,0.981,0.1010101010101009
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C3,fog,0.9887,0.826,0.841,0.09219422249539033
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C3,translate,0.9887,0.912,0.92,0.10430247718383322
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C3,stripe,0.9887,0.971,0.968,0.0
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C3,zigzag,0.9887,0.957,0.964,0.22082018927444771
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C3,spatter,0.9887,0.984,0.981,0.0
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C3_C4,fog,0.9897,0.826,0.834,0.04886988393402568
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C3_C4,translate,0.9897,0.91,0.923,0.16311166875784205
semantic,80clean_20corrupt,0.8,0.19999999999999996,C1_C3_C4,stripe,0.9897,0.977,0.974,0.0
