method,ratio_label,clean_ratio,corruption_ratio,composition_name,corruption_category,healthy_accuracy,degraded_accuracy,after_adaptation_accuracy,recovery_ratio
context,20clean_80corrupt,0.2,0.8,C1_C2_C4_C5,translate,0.9906,0.56,0.58,0.04644681839293987
mlaas,20clean_80corrupt,0.2,0.8,C1,translate,0.9863,0.62,0.95,0.9009009009009009
mlaas,20clean_80corrupt,0.2,0.8,C1_C2,translate,0.9878,0.59,0.73,0.3519356460532931
mlaas,20clean_80corrupt,0.2,0.8,C1_C2_C3,translate,0.9896,0.57,0.61,0.09532888465204964
mlaas,20clean_80corrupt,0.2,0.8,C1_C2_C4,translate,0.9905,0.59,0.63,0.0998751560549314
mlaas,20clean_80corrupt,0.2,0.8,C1_C2_C5,translate,0.9899,0.58,0.66,0.1951695535496464
mlaas,20clean_80corrupt,0.2,0.8,C1_C3,translate,0.9887,0.55,0.6,0.11397310234784576
mlaas,20clean_80corrupt,0.2,0.8,C1_C3_C4,translate,0.9897,0.54,0.6,0.13342228152101387
mlaas,20clean_80corrupt,0.2,0.8,C1_C3_C5,translate,0.9906,0.56,0.58,0.04644681839293987
mlaas,20clean_80corrupt,0.2,0.8,C1_C4,translate,0.9892,0.58,0.67,0.21994134897360723
mlaas,20clean_80corrupt,0.2,0.8,C1_C4_C5,translate,0.99,0.55,0.62,0.159090909090909
mlaas,20clean_80corrupt,0.2,0.8,C1_C5,translate,0.9897,0.57,0.61,0.09530617107457715
mlaas,20clean_80corrupt,0.2,0.8,C2,translate,0.9843,0.59,0.94,0.887648998224702
mlaas,20clean_80corrupt,0.2,0.8,C2_C3,translate,0.9883,0.56,0.6,0.09339248190520648
mlaas,20clean_80corrupt,0.2,0.8,C2_C3_C4,translate,0.9893,0.55,0.6,0.11381743683132244
mlaas,20clean_80corrupt,0.2,0.8,C2_C3_C5,translate,0.9889,0.56,0.6,0.09326183259501032
mlaas,20clean_80corrupt,0.2,0.8,C2_C4,translate,0.9888,0.55,0.67,0.27347310847766637
