adapted_case,adapted_client,corruption,chunk_id,chunk_start,chunk_end,chunk_size,composition_name,performing_clients,performing_size,raw_wdm,raw_ucs,raw_bnuas,raw_bndas,raw_pdam,wasserstein_distance,aligned_wdm,aligned_ucs,aligned_bnuas,aligned_bndas,aligned_pdam,scaled_wdm,scaled_ucs,scaled_bnuas,scaled_bndas,scaled_pdam,ttaas,composition_accuracy_on_chunk,aggregated_accuracy_on_chunk,ground_truth_composable,predicted_at_0_35,correct_at_0_35,predicted_at_0_4,correct_at_0_4,predicted_at_0_5,correct_at_0_5,predicted_at_0_6,correct_at_0_6,rule_score,inference_score,semantic_score,similarity_score,mlaas_score,prediction_distribution_similarity,weight_cosine_similarity
client_0_brightness_tta_memo,client_0,brightness,0,0,500,500,C1,client_0,1,1.1205673217773438e-05,-2.014666901435703,3.999965250492096,0.23860912024974823,0.0,2.704610586166382,0.9999887943267822,-2.014666901435703,3.999965250492096,0.23860912024974823,0.0,0.9997193495370277,0.2998448825080193,0.9918723055765873,0.2805952581725695,0.0,0.5144063591588408,0.2720000147819519,0.6100000143051147,True,True,True,True,True,True,True,False,False,0.85,0.6,0.99746,0.9819061689246749,0.8859734382189829,0.9873,0.9999832526853191
client_0_brightness_tta_memo,client_0,brightness,0,0,500,500,C1_C2,"client_0,client_1",2,0.009447753429412842,-1.6911065857857466,3.9997087121009827,0.20973028242588043,0.0,2.6065263748168945,0.9905522465705872,-1.6911065857857466,3.9997087121009827,0.20973028242588043,0.0,0.8398909299423758,0.3501454220415483,0.9253673686975602,0.23318486103093283,0.0,0.46971771634248344,0.31200000643730164,0.5099999904632568,True,True,True,True,True,False,False,False,False,0.7749999999999999,0.8,0.99722,0.9284320641314023,0.7998800981748037,0.9861,0.9905455827589694
client_0_brightness_tta_memo,client_0,brightness,0,0,500,500,C1_C2_C3,"client_0,client_1,client_2",3,0.01937568187713623,-1.2499356465414166,3.9990798830986023,0.19861231744289398,0.0,2.8893027305603027,0.9806243181228638,-1.2499356465414166,3.9990798830986023,0.19861231744289398,0.0,0.6717399117263436,0.4187296556362238,0.7623499235131418,0.21493249442030168,0.0,0.41355039705920216,0.24400000274181366,0.3720000088214874,True,True,True,True,True,False,False,False,False,0.7749999999999999,0.6,0.99702,0.8985420026854937,0.7834783655894338,0.9851,0.9806169825778576
client_0_brightness_tta_memo,client_0,brightness,0,0,500,500,C1_C2_C3_C4,"client_0,client_1,client_2,client_3",4,0.020799696445465088,0.6112481805175776,3.999013841152191,0.19875547289848328,0.0,2.9314393997192383,0.9792003035545349,0.6112481805175776,3.999013841152191,0.19875547289848328,0.0,0.6476211339893958,0.7080684470269052,0.7452292287961432,0.21516751277678384,0.0,0.4632172645178456,0.22200000286102295,0.3179999887943268,True,True,True,True,True,False,False,False,False,0.7749999999999999,0.6,0.9970000000000001,0.8667164439884325,0.7681878724843432,0.985,0.9791933537583378
client_0_brightness_tta_memo,client_0,brightness,0,0,500,500,C1_C2_C3_C4_C5,"client_0,client_1,client_2,client_3,client_4",5,0.021743953227996826,0.9079896900802851,3.9989715814590454,0.2004917711019516,0.0,2.8282456398010254,0.9782560467720032,0.9079896900802851,3.9989715814590454,0.2004917711019516,0.0,0.631628095736132,0.7541997471618266,0.7342738384041287,0.21801799408371195,0.0,0.4676239350771598,0.24799999594688416,0.3199999928474426,True,True,True,True,True,False,False,False,False,0.7749999999999999,0.6,0.9969000000000001,0.8266557820531804,0.7523503189792983,0.9845,0.9782483823303246
client_0_brightness_tta_memo,client_0,brightness,0,0,500,500,C1_C2_C3_C5,"client_0,client_1,client_2,client_4",4,0.020846188068389893,-0.7643321184441447,3.9989922046661377,0.20089970529079437,0.0,2.770062208175659,0.9791538119316101,-0.7643321184441447,3.9989922046661377,0.20089970529079437,0.0,0.6468336974386102,0.4942213592884831,0.7396201925305561,0.2186876997698841,0.0,0.41987258980550674,0.28999999165534973,0.3779999911785126,True,True,True,True,True,False,False,False,False,0.7749999999999999,0.6,0.9968400000000002,0.8653547487107874,0.7644547629434495,0.9842,0.9791467014110514
client_0_brightness_tta_memo,client_0,brightness,0,0,500,500,C1_C2_C4,"client_0,client_1,client_3",3,0.015916049480438232,-1.38568652048707,3.9993982315063477,0.20554067194461823,0.0,2.8370020389556885,0.9840839505195618,-1.38568652048707,3.9993982315063477,0.20554067194461823,0.0,0.7303362959792278,0.39762588650465425,0.8448784708809123,0.2263067761856611,0.0,0.439829485910091,0.23999999463558197,0.36000001430511475,True,True,True,True,True,False,False,False,False,0.7749999999999999,0.6,0.99702,0.8927135741510852,0.7796009530162089,0.9851,0.9840766854055224
client_0_brightness_tta_memo,client_0,brightness,0,0,500,500,C1_C2_C4_C5,"client_0,client_1,client_3,client_4",4,0.019049406051635742,-0.8242101203650236,3.999247908592224,0.20357125997543335,0.0,2.721184253692627,0.9809505939483643,-0.8242101203650236,3.999247908592224,0.20357125997543335,0.0,0.6772661010583955,0.4849127523390811,0.8059088029420399,0.2230735919362112,0.0,0.4382322496551455,0.28200000524520874,0.36000001430511475,True,True,True,True,True,False,False,False,False,0.7749999999999999,0.6,0.9969400000000002,0.8584783825836464,0.7624392863135389,0.9847,0.9809433885083089
client_0_brightness_tta_memo,client_0,brightness,0,0,500,500,C1_C2_C5,"client_0,client_1,client_4",3,0.01647508144378662,-0.8500164886936545,3.9993587136268616,0.20440904796123505,0.0,2.532236099243164,0.9835249185562134,-0.8500164886936545,3.9993587136268616,0.20440904796123505,0.0,0.7208678762230505,0.4809009060540273,0.834633867453683,0.22444898873609637,0.0,0.4521703276933714,0.328000009059906,0.46799999475479126,True,True,True,True,True,False,False,False,False,0.7749999999999999,0.6,0.9968000000000001,0.879491150064775,0.7758147458899803,0.984,0.9835178444861161
client_0_brightness_tta_memo,client_0,brightness,0,0,500,500,C1_C3,"client_0,client_2",2,0.019022643566131592,-1.2874644794501364,3.9988043904304504,0.20680367946624756,0.0,3.0476746559143066,0.9809773564338684,-1.2874644794501364,3.9988043904304504,0.20680367946624756,0.0,0.677719381842117,0.41289544033828074,0.6909312854427739,0.228380256031302,0.0,0.40198527273089474,0.20600000023841858,0.39399999380111694,True,True,True,True,True,False,False,False,False,0.7749999999999999,0.8,0.9969800000000002,0.9277164054228159,0.8050370194081453,0.9849,0.980970211701939
