tta_method,case,performing_length,tta_corruption,deployment_accuracy,data_shift_accuracy,initial_mixed_accuracy,protected_v2_mixed_accuracy,stmu_gala_mixed_accuracy,substitution_20_random_accuracy,substitution_50_random_accuracy,protected_v2_gain_vs_initial,stmu_gala_gain_vs_initial,sub20_gain_vs_initial,sub50_gain_vs_initial,sub20_source,sub50_source
tta_memo,perf_1_3_plus_2_on_zigzag,2,zigzag,1.0,0.8,0.9,0.91,0.91,0.82,0.98,0.010000000000000009,0.010000000000000009,-0.08000000000000007,0.07999999999999996,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_stripe/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/zigzag/global/global_model.pt
tta_memo,perf_1_4_plus_2_on_zigzag,2,zigzag,0.98,0.82,0.9,0.91,0.9,0.96,0.84,0.010000000000000009,0.0,0.05999999999999994,-0.06000000000000005,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_zigzag/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/stripe/global/global_model.pt
tta_memo,perf_0_1_3_plus_2_on_zigzag,3,zigzag,1.0,0.8,0.9,0.91,0.91,0.87,0.84,0.010000000000000009,0.010000000000000009,-0.030000000000000027,-0.06000000000000005,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_fog/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/stripe/global/global_model.pt
tta_memo,perf_1_3_4_plus_2_on_zigzag,3,zigzag,1.0,0.8,0.9,0.91,0.91,0.96,0.83,0.010000000000000009,0.010000000000000009,0.05999999999999994,-0.07000000000000006,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_zigzag/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/fog/global/global_model.pt
tta_memo,perf_0_1_3_4_plus_2_on_zigzag,4,zigzag,1.0,0.8,0.9,0.91,0.92,0.87,0.98,0.010000000000000009,0.020000000000000018,-0.030000000000000027,0.07999999999999996,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_fog/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/zigzag/global/global_model.pt
tta_memo,perf_0_plus_3_on_brightness,1,brightness,1.0,0.2,0.6,0.62,0.5,0.98,0.46,0.020000000000000018,-0.09999999999999998,0.38,-0.13999999999999996,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_fog/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/translate/global/global_model.pt
tta_memo,perf_1_plus_3_on_brightness,1,brightness,1.0,0.26,0.63,0.67,0.49,0.97,0.9,0.040000000000000036,-0.14,0.33999999999999997,0.27,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_stripe/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/stripe/global/global_model.pt
tta_memo,perf_2_plus_3_on_brightness,1,brightness,1.0,0.18,0.59,0.61,0.5,0.9,0.98,0.020000000000000018,-0.08999999999999997,0.31000000000000005,0.39,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_zigzag/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/fog/global/global_model.pt
tta_memo,perf_4_plus_3_on_brightness,1,brightness,1.0,0.26,0.63,0.67,0.48,0.97,0.98,0.040000000000000036,-0.15000000000000002,0.33999999999999997,0.35,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_stripe/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/fog/global/global_model.pt
tta_memo,perf_0_1_plus_3_on_brightness,2,brightness,1.0,0.28,0.64,0.66,0.49,0.9,0.46,0.020000000000000018,-0.15000000000000002,0.26,-0.18,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_zigzag/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/translate/global/global_model.pt
tta_memo,perf_0_2_plus_3_on_brightness,2,brightness,1.0,0.2,0.6,0.62,0.5,0.97,0.9,0.020000000000000018,-0.09999999999999998,0.37,0.30000000000000004,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_stripe/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/stripe/global/global_model.pt
tta_memo,perf_0_4_plus_3_on_brightness,2,brightness,1.0,0.24,0.62,0.67,0.5,0.9,0.88,0.050000000000000044,-0.12,0.28,0.26,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_zigzag/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/spatter/global/global_model.pt
tta_memo,perf_1_2_plus_3_on_brightness,2,brightness,1.0,0.24,0.62,0.64,0.5,0.98,0.94,0.020000000000000018,-0.12,0.36,0.31999999999999995,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_fog/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/zigzag/global/global_model.pt
tta_memo,perf_1_4_plus_3_on_brightness,2,brightness,1.0,0.32,0.66,0.68,0.49,0.97,0.88,0.020000000000000018,-0.17000000000000004,0.30999999999999994,0.21999999999999997,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_stripe/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/spatter/global/global_model.pt
tta_memo,perf_2_4_plus_3_on_brightness,2,brightness,1.0,0.26,0.63,0.66,0.5,0.91,0.88,0.030000000000000027,-0.13,0.28,0.25,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_spatter/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/spatter/global/global_model.pt
tta_memo,perf_0_1_2_plus_3_on_brightness,3,brightness,1.0,0.24,0.62,0.64,0.5,0.98,0.94,0.020000000000000018,-0.12,0.36,0.31999999999999995,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_fog/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/zigzag/global/global_model.pt
tta_memo,perf_0_2_4_plus_3_on_brightness,3,brightness,1.0,0.24,0.62,0.64,0.5,0.54,0.98,0.020000000000000018,-0.12,-0.07999999999999996,0.36,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_translate/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/fog/global/global_model.pt
tta_memo,perf_1_2_4_plus_3_on_brightness,3,brightness,1.0,0.28,0.64,0.66,0.49,0.98,0.46,0.020000000000000018,-0.15000000000000002,0.33999999999999997,-0.18,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_fog/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/translate/global/global_model.pt
tta_memo,perf_0_1_2_4_plus_3_on_brightness,4,brightness,1.0,0.28,0.64,0.66,0.5,0.98,0.46,0.020000000000000018,-0.14,0.33999999999999997,-0.18,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_fog/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/translate/global/global_model.pt
tta_memo,perf_0_2_plus_3_on_stripe,2,stripe,1.0,0.88,0.94,0.95,0.95,0.91,0.99,0.010000000000000009,0.010000000000000009,-0.029999999999999916,0.050000000000000044,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_zigzag/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/stripe/global/global_model.pt
tta_memo,perf_2_4_plus_3_on_stripe,2,stripe,1.0,0.86,0.93,0.94,0.94,0.96,0.95,0.009999999999999898,0.009999999999999898,0.029999999999999916,0.019999999999999907,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_fog/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/fog/global/global_model.pt
tta_memo,perf_0_1_2_plus_3_on_stripe,3,stripe,1.0,0.88,0.94,0.95,0.95,0.73,0.93,0.010000000000000009,0.010000000000000009,-0.20999999999999996,-0.009999999999999898,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_translate/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/spatter/global/global_model.pt
tta_memo,perf_0_2_4_plus_3_on_stripe,3,stripe,1.0,0.88,0.94,0.95,0.95,0.98,0.93,0.010000000000000009,0.010000000000000009,0.040000000000000036,-0.009999999999999898,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_stripe/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/spatter/global/global_model.pt
tta_memo,perf_0_1_2_4_plus_3_on_stripe,4,stripe,1.0,0.88,0.94,0.95,0.95,0.98,0.99,0.010000000000000009,0.010000000000000009,0.040000000000000036,0.050000000000000044,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_stripe/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/stripe/global/global_model.pt
tta_memo,perf_0_4_plus_3_on_zigzag,2,zigzag,1.0,0.78,0.89,0.92,0.87,0.87,0.89,0.030000000000000027,-0.020000000000000018,-0.020000000000000018,0.0,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_fog/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/spatter/global/global_model.pt
tta_memo,perf_1_4_plus_3_on_zigzag,2,zigzag,1.0,0.8,0.9,0.91,0.9,0.88,0.89,0.010000000000000009,0.0,-0.020000000000000018,-0.010000000000000009,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_translate/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/spatter/global/global_model.pt
