threshold,accuracy,precision,recall,f1,tp,fp,fn,tn,num_samples
0.35,0.8473548387096774,0.8643989431968296,0.9766417910447761,0.9170988086895585,13087,2053,313,47,15500
0.4,0.8121290322580645,0.8626556016597511,0.9308955223880597,0.8954773869346735,12474,1986,926,114,15500
0.5,0.6753548387096774,0.8521885521885522,0.7555223880597015,0.8009493670886076,10124,1756,3276,344,15500
0.6,0.4063225806451613,0.8123511904761904,0.40738805970149256,0.5426441351888668,5459,1261,7941,839,15500
