adapted_case,adapted_client,corruption,severity,chunk_id,chunk_start,chunk_end,chunk_size,composition_name,performing_clients,performing_size,raw_wdm,raw_ucs,raw_bnuas,raw_bndas,raw_pdam,wasserstein_distance,aligned_wdm,aligned_ucs,aligned_bnuas,aligned_bndas,aligned_pdam,scaled_wdm,scaled_ucs,scaled_bnuas,scaled_bndas,scaled_pdam,ttaas,composition_accuracy_on_chunk,aggregated_accuracy_on_chunk,ground_truth_composable,predicted_at_0_35,correct_at_0_35,predicted_at_0_4,correct_at_0_4,predicted_at_0_5,correct_at_0_5,predicted_at_0_6,correct_at_0_6
client_0_brightness,client_0,brightness,1,0,0,500,500,C1,client_0,1,-1.9073486328125e-06,-2.321632072329521,6.000000178813934,0.5448118448257446,0.0,1.5912065505981445,1.0000019073486328,-2.321632072329521,6.000000178813934,0.5448118448257446,0.0,1.0,0.09242783358595598,1.0,0.8334051508947953,1.0,0.7851665968961503,0.5820000171661377,0.5120000243186951,False,True,False,True,False,True,False,True,False
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2,"client_0,client_1",2,0.0005995035171508789,-2.0082205533981323,5.9909971952438354,0.4594399631023407,0.0,1.781602144241333,0.9994004964828491,-2.0082205533981323,5.9909971952438354,0.4594399631023407,0.0,0.8433108160571473,0.1511731358609554,0.8560317588916795,0.6680724862939657,1.0,0.7037176394207496,0.5879999995231628,0.5680000185966492,False,True,False,True,False,True,False,True,False
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C3,"client_0,client_1,client_2",3,0.0012987852096557617,-1.6887705996632576,5.979585647583008,0.42924416065216064,0.0,2.08261775970459,0.9987012147903442,-1.6887705996632576,5.979585647583008,0.42924416065216064,0.0,0.6611227579781039,0.21105027170419172,0.6735477598638905,0.6095947723433321,1.0,0.6310631123779036,0.5720000267028809,0.5740000009536743,True,True,True,True,True,True,True,True,True
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C3_C4,"client_0,client_1,client_2,client_3",4,0.0013701319694519043,-0.41602590680122375,5.97936087846756,0.4286574721336365,0.0,1.8755555152893066,0.9986298680305481,-0.41602590680122375,5.97936087846756,0.4286574721336365,0.0,0.6425343582576287,0.4496112919117784,0.6699534387197316,0.6084585811981893,1.0,0.6741115340174656,0.5799999833106995,0.5759999752044678,False,True,False,True,False,True,False,True,False
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C3_C4_C5,"client_0,client_1,client_2,client_3,client_4",5,0.001495957374572754,-0.8846483863890171,5.976069629192352,0.4172278046607971,0.0,2.0027098655700684,0.9985040426254272,-0.8846483863890171,5.976069629192352,0.4172278046607971,0.0,0.6097523099619536,0.36177352095138393,0.6173225119262644,0.5863236892333105,1.0,0.6350344064145825,0.5820000171661377,0.578000009059906,False,True,False,True,False,True,False,True,False
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C3_C5,"client_0,client_1,client_2,client_4",4,0.001476287841796875,-1.5021013244986534,5.975272357463837,0.4128642678260803,0.0,2.1910436153411865,0.9985237121582031,-1.5021013244986534,5.975272357463837,0.4128642678260803,0.0,0.6148769314387763,0.246039231370988,0.6045732041500065,0.5778731882322318,1.0,0.6086725110384006,0.5699999928474426,0.5699999928474426,False,True,False,True,False,True,False,True,False
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C4,"client_0,client_1,client_3",3,0.0010240674018859863,-0.641259528696537,5.985447287559509,0.4393388330936432,0.0,1.5793957710266113,0.998975932598114,-0.641259528696537,5.985447287559509,0.4393388330936432,0.0,0.7326966379377281,0.40739389911828094,0.7672822414228594,0.6291442898112755,1.0,0.7073034136580288,0.6019999980926514,0.5860000252723694,False,True,False,True,False,True,False,True,False
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C4_C5,"client_0,client_1,client_3,client_4",4,0.0013257861137390137,-1.0917314011603594,5.977965295314789,0.41877755522727966,0.0,1.8449735641479492,0.998674213886261,-1.0917314011603594,5.977965295314789,0.41877755522727966,0.0,0.6540880503144654,0.32295824594094685,0.6476364312232225,0.5893249630186693,1.0,0.6428015380994607,0.578000009059906,0.5899999737739563,True,True,True,True,True,True,True,True,True
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C5,"client_0,client_1,client_4",3,0.0012195110321044922,-1.6835914626717567,5.9773977398872375,0.4145771563053131,0.0,2.060364007949829,0.9987804889678955,-1.6835914626717567,5.9773977398872375,0.4145771563053131,0.0,0.6817765354452986,0.21202104000628452,0.6385605558759192,0.5811903977246164,1.0,0.6227097058104237,0.5860000252723694,0.5899999737739563,True,True,True,True,True,True,True,True,True
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C3,"client_0,client_2",2,0.001246035099029541,-1.7751801833510399,5.981714963912964,0.44155797362327576,0.0,2.11169171333313,0.9987539649009705,-1.7751801833510399,5.981714963912964,0.44155797362327576,0.0,0.674866061029583,0.1948538117575269,0.707598019358436,0.6334419157916487,1.0,0.6421519615874389,0.5640000104904175,0.5659999847412109,True,True,True,True,True,True,True,True,True
