adapted_case,adapted_client,corruption,chunk_id,chunk_start,chunk_end,chunk_size,composition_name,performing_clients,performing_size,raw_wdm,raw_ucs,raw_bnuas,raw_bndas,raw_pdam,wasserstein_distance,aligned_wdm,aligned_ucs,aligned_bnuas,aligned_bndas,aligned_pdam,scaled_wdm,scaled_ucs,scaled_bnuas,scaled_bndas,scaled_pdam,ttaas,composition_accuracy_on_chunk,aggregated_accuracy_on_chunk,ground_truth_composable,predicted_at_0_35,correct_at_0_35,predicted_at_0_4,correct_at_0_4,predicted_at_0_5,correct_at_0_5,predicted_at_0_6,correct_at_0_6
client_0_brightness_tta_bn,client_0,brightness,0,0,500,500,C1,client_0,1,-5.602836608886719e-06,-0.40888991951942444,4.000000059604645,0.04171288385987282,0.0,4.33830451965332,1.0000056028366089,-0.40888991951942444,4.000000059604645,0.04171288385987282,0.0,0.9999212938484079,0.45427158691905895,0.9999672705254717,0.05216639692124539,0.0,0.5012653096428368,0.2720000147819519,0.9079999923706055,True,True,True,True,True,True,True,False,False
client_0_brightness_tta_bn,client_0,brightness,0,0,500,500,C1_C2,"client_0,client_1",2,0.00945824384689331,-0.4097364041954279,3.999708652496338,0.044009461998939514,0.0,4.30330753326416,0.9905417561531067,-0.4097364041954279,3.999708652496338,0.044009461998939514,0.0,0.8397068498569162,0.45411308236713127,0.9199600700410755,0.05656364467396024,0.0,0.4540687293878166,0.31200000643730164,0.7680000066757202,True,True,True,True,True,False,False,False,False
client_0_brightness_tta_bn,client_0,brightness,0,0,500,500,C1_C2_C3,"client_0,client_1,client_2",3,0.019415438175201416,-0.8734737187623978,3.999089479446411,0.04335860535502434,0.0,4.593565940856934,0.9805845618247986,-0.8734737187623978,3.999089479446411,0.04335860535502434,0.0,0.6711404723176339,0.36727810786453985,0.7499631793411556,0.055317452408123115,0.0,0.3687398423862905,0.24400000274181366,0.5519999861717224,True,True,True,False,False,False,False,False,False
client_0_brightness_tta_bn,client_0,brightness,0,0,500,500,C1_C2_C3_C4,"client_0,client_1,client_2,client_3",4,0.020850300788879395,0.5532978922128677,3.99900221824646,0.04322969168424606,0.0,4.661357879638672,0.9791496992111206,0.5532978922128677,3.99900221824646,0.04322969168424606,0.0,0.6468495340192204,0.6344415915185311,0.72600520398645,0.055070621987036564,0.0,0.4124733903022476,0.22200000286102295,0.4339999854564667,True,True,True,True,True,False,False,False,False
client_0_brightness_tta_bn,client_0,brightness,0,0,500,500,C1_C2_C3_C4_C5,"client_0,client_1,client_2,client_3,client_4",5,0.02179741859436035,0.5070482790470123,3.9989229440689087,0.04388998821377754,0.0,4.576163291931152,0.9782025814056396,0.5070482790470123,3.9989229440689087,0.04388998821377754,0.0,0.6308156782653972,0.6257813352616847,0.7042401034251395,0.05633488875907318,0.0,0.4034344011422589,0.24799999594688416,0.41999998688697815,True,True,True,True,True,False,False,False,False
client_0_brightness_tta_bn,client_0,brightness,0,0,500,500,C1_C2_C3_C5,"client_0,client_1,client_2,client_4",4,0.020892322063446045,-0.9073473252356052,3.998950719833374,0.04420497640967369,0.0,4.501650810241699,0.979107677936554,-0.9073473252356052,3.998950719833374,0.04420497640967369,0.0,0.646138151495215,0.36093526319361136,0.7118660709902302,0.05693799522994594,0.0,0.35517549618180055,0.28999999165534973,0.5239999890327454,True,True,True,False,False,False,False,False,False
client_0_brightness_tta_bn,client_0,brightness,0,0,500,500,C1_C2_C4,"client_0,client_1,client_3",3,0.015952885150909424,-1.0027517136186361,3.9993699193000793,0.04342368617653847,0.0,4.5784807205200195,0.9840471148490906,-1.0027517136186361,3.9993699193000793,0.04342368617653847,0.0,0.7297583922956768,0.3430707580687398,0.8269592681689496,0.05544206236207144,0.0,0.39104609617908753,0.23999999463558197,0.5740000009536743,True,True,True,False,False,False,False,False,False
client_0_brightness_tta_bn,client_0,brightness,0,0,500,500,C1_C2_C4_C5,"client_0,client_1,client_3,client_4",4,0.019093990325927734,-0.9662754870951176,3.9991738200187683,0.044026557356119156,0.0,4.482252597808838,0.9809060096740723,-0.9662754870951176,3.9991738200187683,0.044026557356119156,0.0,0.6765822963629685,0.349900944255241,0.7731192825699184,0.05659637707686058,0.0,0.37123978005299774,0.28200000524520874,0.5339999794960022,True,True,True,False,False,False,False,False,False
client_0_brightness_tta_bn,client_0,brightness,0,0,500,500,C1_C2_C5,"client_0,client_1,client_4",3,0.016505718231201172,-0.5762796178460121,3.9992862343788147,0.04456038028001785,0.0,4.270668983459473,0.9834942817687988,-0.5762796178460121,3.9992862343788147,0.04456038028001785,0.0,0.7203994236287976,0.4229278073058991,0.8039831770500925,0.05761848540948415,0.0,0.40098577867885465,0.328000009059906,0.6740000247955322,True,True,True,True,True,False,False,False,False
client_0_brightness_tta_bn,client_0,brightness,0,0,500,500,C1_C3,"client_0,client_2",2,0.019059956073760986,-0.9720779582858086,3.998832106590271,0.04235374927520752,0.0,4.718812942504883,0.980940043926239,-0.9720779582858086,3.998832106590271,0.04235374927520752,0.0,0.6771584657547516,0.34881442949339536,0.6793002438345852,0.05339345902700871,0.0,0.3517333196219482,0.20600000023841858,0.6200000047683716,True,True,True,False,False,False,False,False,False
