threshold,accuracy,precision,recall,f1,tp,fp,fn,tn,num_samples
0.35,0.016774193548387096,0.0,0.0,0.0,0,15240,0,260,15500
0.4,0.07225806451612904,0.0,0.0,0.0,0,14380,0,1120,15500
0.5,0.29806451612903223,0.0,0.0,0.0,0,10880,0,4620,15500
0.6,0.5870967741935483,0.0,0.0,0.0,0,6400,0,9100,15500
