tta_method,composition_id,composition_clients,composition_length,corruption,clean_samples,corruption_samples,before_clean_accuracy,before_corruption_accuracy,before_mixed_accuracy,adapted_clean_accuracy,adapted_corruption_accuracy,adapted_mixed_accuracy,gain_clean,gain_corruption,gain_mixed
tta_memo,composition_2_3_4,"client_2,client_3,client_4",3,zigzag,100,100,1.0,0.81,0.905,1.0,0.82,0.91,0.0,0.009999999999999898,0.0050000000000000044
tent,composition_2_4,"client_2,client_4",2,brightness,100,100,0.99,0.3,0.645,1.0,0.98,0.89,0.010000000000000009,0.6799999999999999,0.245
tta_bn,composition_2_4,"client_2,client_4",2,brightness,100,100,0.99,0.3,0.645,0.58,0.94,0.76,-0.41000000000000003,0.6399999999999999,0.11499999999999999
tta_memo,composition_2_4,"client_2,client_4",2,brightness,100,100,0.99,0.3,0.645,0.94,0.48,0.71,-0.050000000000000044,0.18,0.06499999999999995
tent,composition_2_4,"client_2,client_4",2,zigzag,100,100,0.99,0.77,0.88,1.0,0.8,0.89,0.010000000000000009,0.030000000000000027,0.010000000000000009
tta_bn,composition_2_4,"client_2,client_4",2,zigzag,100,100,0.99,0.77,0.88,0.99,0.81,0.9,0.0,0.040000000000000036,0.020000000000000018
tta_memo,composition_2_4,"client_2,client_4",2,zigzag,100,100,0.99,0.77,0.88,0.99,0.77,0.88,0.0,0.0,0.0
tent,composition_3,client_3,1,brightness,100,100,0.99,0.12,0.555,0.99,0.97,0.85,0.0,0.85,0.29499999999999993
tta_bn,composition_3,client_3,1,brightness,100,100,0.99,0.12,0.555,0.51,0.93,0.72,-0.48,0.81,0.16499999999999992
tta_memo,composition_3,client_3,1,brightness,100,100,0.99,0.12,0.555,0.95,0.28,0.615,-0.040000000000000036,0.16000000000000003,0.05999999999999994
tent,composition_3,client_3,1,zigzag,100,100,0.99,0.78,0.885,0.99,0.84,0.915,0.0,0.05999999999999994,0.030000000000000027
tta_bn,composition_3,client_3,1,zigzag,100,100,0.99,0.78,0.885,0.99,0.85,0.92,0.0,0.06999999999999995,0.03500000000000003
tta_memo,composition_3,client_3,1,zigzag,100,100,0.99,0.78,0.885,0.99,0.8,0.895,0.0,0.020000000000000018,0.010000000000000009
tent,composition_3_4,"client_3,client_4",2,brightness,100,100,1.0,0.23,0.615,1.0,0.98,0.88,0.0,0.75,0.265
tta_bn,composition_3_4,"client_3,client_4",2,brightness,100,100,1.0,0.23,0.615,0.54,0.95,0.745,-0.45999999999999996,0.72,0.13
tta_memo,composition_3_4,"client_3,client_4",2,brightness,100,100,1.0,0.23,0.615,0.96,0.45,0.705,-0.040000000000000036,0.22,0.08999999999999997
tent,composition_3_4,"client_3,client_4",2,zigzag,100,100,1.0,0.79,0.895,1.0,0.84,0.91,0.0,0.04999999999999993,0.015000000000000013
tta_bn,composition_3_4,"client_3,client_4",2,zigzag,100,100,1.0,0.79,0.895,0.99,0.84,0.915,-0.010000000000000009,0.04999999999999993,0.020000000000000018
tta_memo,composition_3_4,"client_3,client_4",2,zigzag,100,100,1.0,0.79,0.895,0.99,0.82,0.905,-0.010000000000000009,0.029999999999999916,0.010000000000000009
tent,composition_4,client_4,1,brightness,100,100,0.99,0.36,0.675,0.99,0.98,0.895,0.0,0.62,0.21999999999999997
tta_bn,composition_4,client_4,1,brightness,100,100,0.99,0.36,0.675,0.53,0.94,0.735,-0.45999999999999996,0.58,0.05999999999999994
tta_memo,composition_4,client_4,1,brightness,100,100,0.99,0.36,0.675,0.94,0.67,0.805,-0.050000000000000044,0.31000000000000005,0.13
tent,composition_4,client_4,1,zigzag,100,100,0.99,0.74,0.865,0.99,0.79,0.88,0.0,0.050000000000000044,0.015000000000000013
tta_bn,composition_4,client_4,1,zigzag,100,100,0.99,0.74,0.865,0.98,0.79,0.885,-0.010000000000000009,0.050000000000000044,0.020000000000000018
tta_memo,composition_4,client_4,1,zigzag,100,100,0.99,0.74,0.865,0.99,0.78,0.885,0.0,0.040000000000000036,0.020000000000000018
