composition_id,composition_clients,composition_length,corruption,clean_samples,corruption_samples,before_clean_accuracy,before_corruption_accuracy,before_mixed_accuracy,composition_tent_clean_accuracy,composition_tent_corruption_accuracy,composition_tent_mixed_accuracy,composition_tent_gain_mixed,composition_tent_gain_corruption,composition_tta_bn_clean_accuracy,composition_tta_bn_corruption_accuracy,composition_tta_bn_mixed_accuracy,composition_tta_bn_gain_mixed,composition_tta_bn_gain_corruption,composition_tta_memo_clean_accuracy,composition_tta_memo_corruption_accuracy,composition_tta_memo_mixed_accuracy,composition_tta_memo_gain_mixed,composition_tta_memo_gain_corruption,composition_full_adapt_clean_accuracy,composition_full_adapt_corruption_accuracy,composition_full_adapt_mixed_accuracy,composition_full_adapt_gain_mixed,composition_full_adapt_gain_corruption,composition_gala_clean_accuracy,composition_gala_corruption_accuracy,composition_gala_mixed_accuracy,composition_gala_gain_mixed,composition_gala_gain_corruption,gala_num_groups,gala_selected_group_0,gala_selected_group_1,gala_selected_group_2,gala_selected_group_3,gala_selected_group_4,gala_selected_group_5,gala_skipped_steps
composition_1_3_4,"client_1,client_3,client_4",3,zigzag,50,50,1.0,0.8,0.9,1.0,0.84,0.91,0.010000000000000009,0.039999999999999925,1.0,0.84,0.92,0.020000000000000018,0.039999999999999925,1.0,0.84,0.92,0.020000000000000018,0.039999999999999925,0.98,0.86,0.92,0.020000000000000018,0.05999999999999994,0.98,0.84,0.91,0.010000000000000009,0.039999999999999925,6,5,15,5,7,5,6,22
composition_1_4,"client_1,client_4",2,brightness,50,50,0.98,0.38,0.68,0.98,0.98,0.81,0.13,0.6,0.58,0.98,0.78,0.09999999999999998,0.6,0.98,0.52,0.75,0.06999999999999995,0.14,0.98,0.0,0.49,-0.19000000000000006,-0.38,0.98,0.0,0.49,-0.19000000000000006,-0.38,6,29,17,4,5,4,6,0
composition_1_4,"client_1,client_4",2,zigzag,50,50,0.98,0.84,0.91,0.98,0.84,0.91,0.0,0.0,0.98,0.84,0.91,0.0,0.0,0.98,0.84,0.91,0.0,0.0,0.98,0.84,0.91,0.0,0.0,0.98,0.82,0.9,-0.010000000000000009,-0.020000000000000018,6,6,11,5,6,4,5,28
composition_2,client_2,1,brightness,50,50,1.0,0.22,0.61,1.0,0.94,0.69,0.07999999999999996,0.72,0.72,0.94,0.83,0.21999999999999997,0.72,1.0,0.3,0.65,0.040000000000000036,0.07999999999999999,1.0,0.0,0.5,-0.10999999999999999,-0.22,1.0,0.0,0.5,-0.10999999999999999,-0.22,6,20,22,4,6,4,9,0
composition_2_3,"client_2,client_3",2,zigzag,50,50,1.0,0.8,0.9,1.0,0.82,0.91,0.010000000000000009,0.019999999999999907,1.0,0.84,0.92,0.020000000000000018,0.039999999999999925,1.0,0.8,0.9,0.0,0.0,1.0,0.84,0.92,0.020000000000000018,0.039999999999999925,1.0,0.8,0.9,0.0,0.0,6,6,20,3,6,4,4,22
composition_2_3_4,"client_2,client_3,client_4",3,brightness,50,50,1.0,0.26,0.63,1.0,1.0,0.74,0.10999999999999999,0.74,0.66,1.0,0.83,0.19999999999999996,0.74,1.0,0.32,0.66,0.030000000000000027,0.06,1.0,0.0,0.5,-0.13,-0.26,1.0,0.0,0.5,-0.13,-0.26,6,26,15,10,5,4,5,0
composition_2_3_4,"client_2,client_3,client_4",3,zigzag,50,50,1.0,0.82,0.91,1.0,0.82,0.91,0.0,0.0,1.0,0.82,0.91,0.0,0.0,1.0,0.8,0.9,-0.010000000000000009,-0.019999999999999907,1.0,0.86,0.93,0.020000000000000018,0.040000000000000036,1.0,0.84,0.92,0.010000000000000009,0.020000000000000018,6,7,13,6,9,4,5,21
composition_2_4,"client_2,client_4",2,brightness,50,50,1.0,0.32,0.66,1.0,1.0,0.76,0.09999999999999998,0.6799999999999999,0.72,1.0,0.86,0.19999999999999996,0.6799999999999999,1.0,0.4,0.7,0.039999999999999925,0.08000000000000002,1.0,0.0,0.5,-0.16000000000000003,-0.32,1.0,0.0,0.5,-0.16000000000000003,-0.32,6,13,27,6,6,4,9,0
composition_2_4,"client_2,client_4",2,glass_blur,50,50,1.0,0.84,0.92,1.0,0.84,0.93,0.010000000000000009,0.0,1.0,0.86,0.93,0.010000000000000009,0.020000000000000018,1.0,0.86,0.93,0.010000000000000009,0.020000000000000018,0.92,0.6,0.76,-0.16000000000000003,-0.24,1.0,0.78,0.89,-0.030000000000000027,-0.05999999999999994,6,4,17,8,8,6,6,16
composition_2_4,"client_2,client_4",2,stripe,50,50,1.0,0.88,0.94,1.0,0.92,0.97,0.030000000000000027,0.040000000000000036,0.7,0.86,0.78,-0.15999999999999992,-0.020000000000000018,1.0,0.9,0.95,0.010000000000000009,0.020000000000000018,1.0,0.9,0.95,0.010000000000000009,0.020000000000000018,1.0,0.88,0.94,0.0,0.0,6,6,14,7,7,5,6,20
composition_3,client_3,1,stripe,50,50,1.0,0.9,0.95,1.0,0.92,0.97,0.020000000000000018,0.020000000000000018,0.54,0.72,0.63,-0.31999999999999995,-0.18000000000000005,1.0,0.9,0.95,0.0,0.0,1.0,0.92,0.96,0.010000000000000009,0.020000000000000018,1.0,0.9,0.95,0.0,0.0,6,8,16,6,6,5,7,17
composition_3_4,"client_3,client_4",2,brightness,50,50,1.0,0.26,0.63,1.0,1.0,0.73,0.09999999999999998,0.74,0.62,1.0,0.81,0.18000000000000005,0.74,1.0,0.34,0.67,0.040000000000000036,0.08000000000000002,0.96,0.0,0.48,-0.15000000000000002,-0.26,1.0,0.0,0.5,-0.13,-0.26,6,31,16,4,5,4,5,0
composition_4,client_4,1,brightness,50,50,1.0,0.34,0.67,1.0,1.0,0.83,0.15999999999999992,0.6599999999999999,0.72,1.0,0.86,0.18999999999999995,0.6599999999999999,1.0,0.52,0.76,0.08999999999999997,0.18,0.96,0.0,0.48,-0.19000000000000006,-0.34,0.96,0.0,0.48,-0.19000000000000006,-0.34,6,17,20,4,9,4,7,4
composition_4,client_4,1,glass_blur,50,50,1.0,0.84,0.92,1.0,0.84,0.94,0.019999999999999907,0.0,1.0,0.88,0.94,0.019999999999999907,0.040000000000000036,1.0,0.84,0.92,0.0,0.0,0.88,0.6,0.74,-0.18000000000000005,-0.24,1.0,0.78,0.89,-0.030000000000000027,-0.05999999999999994,6,4,12,7,7,6,10,19
composition_4,client_4,1,stripe,50,50,1.0,0.84,0.92,1.0,0.86,0.96,0.039999999999999925,0.020000000000000018,0.68,0.8,0.74,-0.18000000000000005,-0.039999999999999925,1.0,0.92,0.96,0.039999999999999925,0.08000000000000007,1.0,0.96,0.98,0.05999999999999994,0.12,1.0,0.8,0.9,-0.020000000000000018,-0.039999999999999925,6,5,10,8,8,4,6,24
composition_4,client_4,1,zigzag,50,50,1.0,0.74,0.87,1.0,0.8,0.89,0.020000000000000018,0.06000000000000005,1.0,0.8,0.9,0.030000000000000027,0.06000000000000005,1.0,0.78,0.89,0.020000000000000018,0.040000000000000036,0.98,0.78,0.88,0.010000000000000009,0.040000000000000036,1.0,0.7,0.85,-0.020000000000000018,-0.040000000000000036,6,4,15,5,8,4,7,22
