threshold,accuracy,precision,recall,f1,tp,fp,fn,tn,num_samples
0.35,0.3935483870967742,0.0,0.0,0.0,0,9400,0,6100,15500
0.4,0.56,0.0,0.0,0.0,0,6820,0,8680,15500
0.5,0.8467096774193549,0.0,0.0,0.0,0,2376,0,13124,15500
0.6,0.9796129032258064,0.0,0.0,0.0,0,316,0,15184,15500
