adapted_case,composition_name,prediction_distribution_similarity,weight_cosine_similarity,quality_gap,reliability_gap,latency_similarity,entropy_gap,rule_score,rule_composable,inference_score,inference_composable,semantic_score,semantic_composable,similarity_score,similarity_composable,mlaas_score,mlaas_composable
client_0_brightness,C1,0.6211,0.999985778293908,0.2695282386068967,0.9157547856526561,0.8322697231054551,0.003613703925301026,0.3833333333333333,False,0.2,False,0.92422,True,0.6942499871418026,False,0.7366325538989984,False
client_0_brightness,C1_C2,0.6375,0.9959837848899822,0.24405615754244886,0.8802506699386735,0.6088755612575197,0.07672008702067545,0.3833333333333333,False,0.2,False,0.9275,True,0.6735160422432764,False,0.703078150632914,False
client_0_brightness,C1_C2_C3,0.6238999999999999,0.994837774176742,0.2229205978778678,0.8663128989203903,0.4067773715326882,0.10438088184720384,0.3083333333333333,False,0.1,False,0.9247800000000002,True,0.6397144289157519,False,0.6653301995800442,False
client_0_brightness,C1_C2_C3_C4,0.5775,0.994216946779569,0.22278555768371572,0.855053777245476,0.30150602247919717,0.10642902513674224,0.3083333333333333,False,0.1,False,0.9155000000000002,True,0.6022217088940186,False,0.6360246844962332,False
client_0_brightness,C1_C2_C3_C4_C5,0.5632,0.9938626078612843,0.21744579641362632,0.8476348705513939,0.2464429429153697,0.11082053321086494,0.3083333333333333,False,0.1,False,0.9126400000000001,True,0.5783318922296627,False,0.6238910437232369,False
client_0_brightness,C1_C2_C3_C5,0.6001000000000001,0.994240359335404,0.21544288107662296,0.8403635298956131,0.30085631883423725,0.11157930487390821,0.3083333333333333,False,0.1,False,0.9200200000000001,True,0.612019195201683,False,0.6433569863348131,False
client_0_brightness,C1_C2_C4,0.5694,0.9947568860070618,0.23839166977993517,0.8745664386392247,0.40472468776371967,0.09020419480143271,0.3083333333333333,False,0.1,False,0.91388,True,0.6236836208320751,False,0.6500839168400177,False
client_0_brightness,C1_C2_C4_C5,0.5593,0.9941737148144638,0.2264965170797901,0.8531891681395635,0.30564881037079544,0.10539181699911693,0.3083333333333333,False,0.1,False,0.9118600000000001,True,0.600247539556749,False,0.6326488647129082,False
client_0_brightness,C1_C2_C5,0.6125,0.9947902013206006,0.22559302433990752,0.8518855845857258,0.40633013283338576,0.10552151746182004,0.3083333333333333,False,0.1,False,0.9225000000000001,True,0.6418449188799613,False,0.6638594834100138,False
client_0_brightness,C1_C3,0.6536000000000001,0.99615054164218,0.23253770434740487,0.8747833312456585,0.6139283815130488,0.09087451460622376,0.3833333333333333,False,0.2,False,0.9307200000000002,True,0.6790714374111584,False,0.7101924905427698,False
client_0_brightness,C1_C3_C4,0.5733,0.9948842165280141,0.22753860319095054,0.8702647947227821,0.4035191954452009,0.10217184566919102,0.3083333333333333,False,0.1,False,0.91466,True,0.6270472839462042,False,0.6532490621899454,False
client_0_brightness,C1_C3_C4_C5,0.5621,0.9942459191352722,0.2220881516145074,0.8499546454101408,0.3049454324673282,0.10757424326004417,0.3083333333333333,False,0.1,False,0.91242,True,0.602164024227077,False,0.6342877553623752,False
client_0_brightness,C1_C3_C5,0.6042,0.9948658980481963,0.22530033339478134,0.8556471690999095,0.4126078818527474,0.10623050246001653,0.3083333333333333,False,0.1,False,0.9208400000000001,True,0.6404543895423814,False,0.6631525522970122,False
client_0_brightness,C1_C4,0.5665,0.9960701131109406,0.24834940171214595,0.8926898159998004,0.6206219450163599,0.07202158725515562,0.3833333333333333,False,0.2,False,0.9133,True,0.6558191678951606,False,0.6891421295888216,False
client_0_brightness,C1_C4_C5,0.559,0.994792210749154,0.23236807828930955,0.8610795141967631,0.41160607203967237,0.09936166289588,0.3083333333333333,False,0.1,False,0.9118000000000002,True,0.6287257975574216,False,0.6519406693859977,False
client_0_brightness,C1_C5,0.6089,0.9960107020277448,0.23931465846887398,0.8686230549286018,0.6130158718183336,0.09333635002688134,0.3833333333333333,False,0.2,False,0.92178,True,0.6712557723252618,False,0.7003026574883514,False
client_0_brightness,C2,0.5033000000000001,0.9846630000217714,0.2660117195959121,0.9193639142281039,0.8086738710934122,0.04606973968205241,0.3833333333333333,False,0.2,False,0.8306600000000001,False,0.6512383633475056,False,0.7056312187868146,False
client_0_brightness,C2_C3,0.5369999999999999,0.9885600535954098,0.23424891600927425,0.86856382588154,0.6101626906792482,0.09385816738636721,0.3833333333333333,False,0.2,False,0.8374,False,0.6551252461918375,False,0.6848809629706935,False
client_0_brightness,C2_C3_C4,0.5061,0.9898186601697477,0.2304763394211461,0.8656857000244201,0.40916853533840597,0.09699487023223186,0.3083333333333333,False,0.1,False,0.8312200000000001,False,0.6149178838196819,False,0.6397961811207302,False
