corruption,num_windows,num_positive_windows,mean_accuracy,mean_historical_similarity,mean_final_score,best_tau_threshold,precision,recall,accuracy,f1,false_positive_rate,false_negative_rate,hidden_failure_recall,visible_failure_recall,threshold_source,trigger_parameter_threshold,matched_contexts
brightness,158,0,0.40348101265822783,0.6684387454990592,0.556969760854131,0.8535413481012658,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
contrast,79,15,0.37905458860759494,0.11760023830984938,0.6779638691215079,0.28412557866236093,0.189873417721519,1.0,0.189873417721519,0.3191489361702127,1.0,0.0,0.0,0.0,per_corruption_best_f1_on_final_score,0.18,"[""known_motion_blur""]"
defocus_blur,79,7,0.4029865506329114,0.34350830839024793,0.4649987924483329,0.12923726287845708,0.08860759493670886,1.0,0.08860759493670886,0.1627906976744186,1.0,0.0,0.0,0.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
elastic_transform,79,48,0.3268393987341772,0.34336663248223315,0.4603051099437362,0.13675968090249987,0.6075949367088608,1.0,0.6075949367088608,0.7559055118110236,1.0,0.0,0.0,1.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
fog,79,9,0.3915150316455696,0.1805254780982989,0.7566780601352846,0.3252922032778571,0.11392405063291139,1.0,0.11392405063291139,0.20454545454545456,1.0,0.0,0.0,0.0,per_corruption_best_f1_on_final_score,0.18,"[""known_motion_blur""]"
frost,79,49,0.3341574367088608,0.14740339475431163,0.5605969253991255,0.30532930063291136,0.620253164556962,1.0,0.620253164556962,0.765625,1.0,0.0,0.0,1.0,per_corruption_best_f1_on_final_score,0.18,"[""known_brightness""]"
gaussian_blur,79,8,0.4029865506329114,0.34347420352468583,0.46273112277719725,0.12903558700238382,0.10126582278481013,1.0,0.10126582278481013,0.18390804597701146,1.0,0.0,0.0,0.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
gaussian_noise,79,77,0.22814477848101267,0.34071619033072476,0.5279820113917725,0.14862402901403815,0.9746835443037974,1.0,0.9746835443037974,0.9871794871794872,1.0,0.0,0.0,1.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
glass_blur,79,79,0.1594145569620253,0.34489507739463443,0.48837634448579686,0.09360050128865675,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
impulse_noise,79,78,0.21153085443037975,0.33348401081523077,0.5390123490612692,0.18772568593946384,0.9873417721518988,1.0,0.9873417721518988,0.9936305732484078,1.0,0.0,0.0,1.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
jpeg_compression,79,35,0.3502768987341772,0.34166938314762724,0.4851022478899451,0.3358433072812164,0.4838709677419355,0.8571428571428571,0.5316455696202531,0.6185567010309277,0.7272727272727273,0.14285714285714285,0.0,0.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
motion_blur,158,0,0.35650712025316456,0.6714394840452121,0.5035035876167806,0.8466683259493671,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
pixelate,79,16,0.377373417721519,0.34491072562767533,0.4583734895697065,0.09196681246873481,0.20253164556962025,1.0,0.20253164556962025,0.3368421052631579,1.0,0.0,0.0,0.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
saturate,79,66,0.30073180379746833,0.29448889896352726,0.5716535500056931,0.21415629812346493,0.8354430379746836,1.0,0.8354430379746836,0.9103448275862069,1.0,0.0,0.0,1.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
shot_noise,79,71,0.2848101265822785,0.33973525915532704,0.5112695322236224,0.19403624477331785,0.8987341772151899,1.0,0.8987341772151899,0.9466666666666668,1.0,0.0,0.0,1.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
snow,79,43,0.3362341772151899,0.31074369254807366,0.509754198574397,0.2825048114114095,0.5443037974683544,1.0,0.5443037974683544,0.7049180327868853,1.0,0.0,0.0,0.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
spatter,79,32,0.34988132911392406,0.32265487800603093,0.5021053338258717,0.32612132080103634,0.4225352112676056,0.9375,0.45569620253164556,0.5825242718446602,0.8723404255319149,0.0625,0.0,0.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
speckle_noise,79,73,0.28866693037974683,0.3415325608901568,0.4993543002994029,0.1810934985620579,0.9240506329113924,1.0,0.9240506329113924,0.9605263157894737,1.0,0.0,0.0,0.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
zoom_blur,79,46,0.3344541139240506,0.34202960049650016,0.46898556446040024,0.1559963553478864,0.5822784810126582,1.0,0.5822784810126582,0.736,1.0,0.0,0.0,0.0,per_corruption_best_f1_on_final_score,0.18,"[""clean_cifar100"", ""known_brightness"", ""known_motion_blur""]"
