tta_method,case,performing_clients,performing_length,tta_client,tta_corruption,clean_samples,corruption_samples,initial_mixed_accuracy,protected_v2_mixed_accuracy,protected_v2_gain_vs_initial_mixed,model_pref_tta_weight,bn_pref_tta_weight,sum_pref_tta_weight
tta_bn,perf_0_1_3_4_plus_2_on_brightness,"client_0,client_1,client_3,client_4",4,client_2,brightness,50,50,0.64,0.66,0.020000000000000018,0.00014516133154193745,1.3101167612960593e-06,0.0001464714483032335
tta_bn,perf_0_4_plus_2_on_glass_blur,"client_0,client_4",2,client_2,glass_blur,50,50,0.92,0.93,0.010000000000000009,6.879993014095684e-05,0.002913413543600665,0.002982213473741622
tta_bn,perf_1_3_plus_2_on_glass_blur,"client_1,client_3",2,client_2,glass_blur,50,50,0.93,0.94,0.009999999999999898,7.32836257623124e-05,0.0038911263589521683,0.00396440998471448
tta_bn,perf_1_3_4_plus_2_on_glass_blur,"client_1,client_3,client_4",3,client_2,glass_blur,50,50,0.93,0.94,0.009999999999999898,0.00011206331562803798,0.003569150377259399,0.003681213692887437
tta_bn,perf_0_1_3_4_plus_2_on_glass_blur,"client_0,client_1,client_3,client_4",4,client_2,glass_blur,50,50,0.93,0.94,0.009999999999999898,0.00014516133154193745,0.003802467156134907,0.003947628487676844
tta_bn,perf_3_plus_2_on_stripe,client_3,1,client_2,stripe,50,50,0.93,0.95,0.019999999999999907,1.718796481322614e-05,5.483229137306192e-07,1.773628772695676e-05
tta_bn,perf_1_3_plus_2_on_stripe,"client_1,client_3",2,client_2,stripe,50,50,0.94,0.96,0.020000000000000018,7.32836257623124e-05,4.63670955800858e-07,7.374729671811327e-05
tta_bn,perf_1_plus_2_on_zigzag,client_1,1,client_2,zigzag,50,50,0.9,0.91,0.010000000000000009,2.37976303668143e-05,0.007860312971685452,0.007884110602052267
tta_bn,perf_0_4_plus_2_on_zigzag,"client_0,client_4",2,client_2,zigzag,50,50,0.9,0.91,0.010000000000000009,6.879993014095684e-05,0.007113583923692488,0.007182383853833445
tta_bn,perf_1_3_plus_2_on_zigzag,"client_1,client_3",2,client_2,zigzag,50,50,0.9,0.91,0.010000000000000009,7.32836257623124e-05,0.01201041671274061,0.012083700338502923
tta_bn,perf_1_4_plus_2_on_zigzag,"client_1,client_4",2,client_2,zigzag,50,50,0.9,0.91,0.010000000000000009,6.958817105396735e-05,0.009064703977142334,0.009134292148196301
