tta_method,case,performing_clients,performing_length,tta_client,tta_corruption,clean_samples,corruption_samples,tta_local_before,tta_local_after,initial_mixed_accuracy,initial_shift_accuracy,fedavg_mixed_accuracy,fedavg_shift_accuracy,protected_v2_mixed_accuracy,protected_v2_shift_accuracy,protected_v2_gain_vs_initial_mixed,protected_v2_gain_vs_fedavg_mixed,protected_v2_gain_vs_initial_shift,protected_v2_gain_vs_fedavg_shift,model_pref_tta_weight,bn_pref_tta_weight,sum_pref_tta_weight,artifact_dir
tent,perf_1_plus_0_on_glass_blur,client_1,1,client_0,glass_blur,50,50,0.7441,0.798,0.91,0.84,0.9,0.82,0.9,0.82,-0.010000000000000009,0.0,-0.020000000000000018,0.0,4.55042347391282e-05,0.03122197356835469,0.031267477803093816,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_2_plus_0_on_glass_blur,client_2,1,client_0,glass_blur,50,50,0.7441,0.798,0.92,0.84,0.91,0.82,0.9,0.8,-0.020000000000000018,-0.010000000000000009,-0.039999999999999925,-0.019999999999999907,2.0642804393469558e-05,0.024721614690437845,0.024742257494831315,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_3_plus_0_on_glass_blur,client_3,1,client_0,glass_blur,50,50,0.7441,0.798,0.93,0.86,0.91,0.82,0.91,0.82,-0.020000000000000018,0.0,-0.040000000000000036,0.0,2.9095285933283444e-05,0.032023556771156717,0.03205265205709,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_4_plus_0_on_glass_blur,client_4,1,client_0,glass_blur,50,50,0.7441,0.798,0.93,0.86,0.91,0.82,0.92,0.84,-0.010000000000000009,0.010000000000000009,-0.020000000000000018,0.020000000000000018,3.517293562926736e-05,0.034923674145443326,0.034958847081072594,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_1_2_plus_0_on_glass_blur,"client_1,client_2",2,client_0,glass_blur,50,50,0.7441,0.798,0.91,0.82,0.91,0.82,0.92,0.84,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.020000000000000018,0.00013167685145582228,0.036237062280493074,0.03636873913194889,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_1_3_plus_0_on_glass_blur,"client_1,client_3",2,client_0,glass_blur,50,50,0.7441,0.798,0.94,0.88,0.92,0.84,0.94,0.88,0.0,0.019999999999999907,0.0,0.040000000000000036,0.0001433463583450982,0.048413394255569606,0.048556740613914705,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_1_4_plus_0_on_glass_blur,"client_1,client_4",2,client_0,glass_blur,50,50,0.7441,0.798,0.91,0.84,0.89,0.8,0.9,0.82,-0.010000000000000009,0.010000000000000009,-0.020000000000000018,0.019999999999999907,0.00014955963193031698,0.05452656345611317,0.05467612308804348,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_2_3_plus_0_on_glass_blur,"client_2,client_3",2,client_0,glass_blur,50,50,0.7441,0.798,0.94,0.88,0.91,0.82,0.93,0.86,-0.009999999999999898,0.020000000000000018,-0.020000000000000018,0.040000000000000036,0.0001126535541699376,0.040389106139995,0.04050175969416494,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_2_4_plus_0_on_glass_blur,"client_2,client_4",2,client_0,glass_blur,50,50,0.7441,0.798,0.92,0.84,0.91,0.82,0.92,0.84,0.0,0.010000000000000009,0.0,0.020000000000000018,0.0001247931020937434,0.04839317418211387,0.04851796728420761,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_3_4_plus_0_on_glass_blur,"client_3,client_4",2,client_0,glass_blur,50,50,0.7441,0.798,0.93,0.86,0.92,0.84,0.93,0.86,0.0,0.010000000000000009,0.0,0.020000000000000018,0.00013586094995780718,0.048499304805037204,0.04863516575499501,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_1_2_3_plus_0_on_glass_blur,"client_1,client_2,client_3",3,client_0,glass_blur,50,50,0.7441,0.798,0.94,0.88,0.91,0.82,0.93,0.86,-0.009999999999999898,0.020000000000000018,-0.020000000000000018,0.040000000000000036,0.00022076163686378324,0.046798842864373504,0.04701960450123729,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_1_2_4_plus_0_on_glass_blur,"client_1,client_2,client_4",3,client_0,glass_blur,50,50,0.7441,0.798,0.92,0.84,0.91,0.82,0.92,0.84,0.0,0.010000000000000009,0.0,0.020000000000000018,0.00023041729139906518,0.05302066333730509,0.05325108062870416,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_1_3_4_plus_0_on_glass_blur,"client_1,client_3,client_4",3,client_0,glass_blur,50,50,0.7441,0.798,0.94,0.88,0.92,0.84,0.94,0.88,0.0,0.019999999999999907,0.0,0.040000000000000036,0.000237939988303369,0.05897982024415463,0.059217760232458,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_2_3_4_plus_0_on_glass_blur,"client_2,client_3,client_4",3,client_0,glass_blur,50,50,0.7441,0.798,0.93,0.86,0.91,0.82,0.93,0.86,0.0,0.020000000000000018,0.0,0.040000000000000036,0.00021723723744227155,0.0528765424420989,0.05309377967954117,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_1_2_3_4_plus_0_on_glass_blur,"client_1,client_2,client_3,client_4",4,client_0,glass_blur,50,50,0.7441,0.798,0.93,0.86,0.91,0.82,0.93,0.86,0.0,0.020000000000000018,0.0,0.040000000000000036,0.0003001200739096516,0.05681510111667372,0.05711522119058337,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_glass_blur
tent,perf_1_plus_0_on_stripe,client_1,1,client_0,stripe,50,50,0.8262,0.8043,0.92,0.86,0.92,0.86,0.94,0.9,0.019999999999999907,0.019999999999999907,0.040000000000000036,0.040000000000000036,4.55042347391282e-05,0.030591155729438498,0.030636659964177627,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_2_plus_0_on_stripe,client_2,1,client_0,stripe,50,50,0.8262,0.8043,0.95,0.9,0.95,0.9,0.93,0.86,-0.019999999999999907,-0.019999999999999907,-0.040000000000000036,-0.040000000000000036,2.0642804393469558e-05,0.02422912732557254,0.02424977012996601,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_3_plus_0_on_stripe,client_3,1,client_0,stripe,50,50,0.8262,0.8043,0.94,0.88,0.94,0.88,0.95,0.9,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.020000000000000018,2.9095285933283444e-05,0.031609191286804186,0.03163828657273747,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_4_plus_0_on_stripe,client_4,1,client_0,stripe,50,50,0.8262,0.8043,0.93,0.86,0.95,0.9,0.92,0.84,-0.010000000000000009,-0.029999999999999916,-0.020000000000000018,-0.06000000000000005,3.517293562926736e-05,0.034288879722320614,0.03432405265794988,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_1_2_plus_0_on_stripe,"client_1,client_2",2,client_0,stripe,50,50,0.8262,0.8043,0.95,0.9,0.95,0.9,0.94,0.88,-0.010000000000000009,-0.010000000000000009,-0.020000000000000018,-0.020000000000000018,0.00013167685145582228,0.03545711958869448,0.0355887964401503,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_1_3_plus_0_on_stripe,"client_1,client_3",2,client_0,stripe,50,50,0.8262,0.8043,0.94,0.88,0.93,0.88,0.95,0.9,0.010000000000000009,0.019999999999999907,0.020000000000000018,0.020000000000000018,0.0001433463583450982,0.047507992974603196,0.047651339332948295,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_1_4_plus_0_on_stripe,"client_1,client_4",2,client_0,stripe,50,50,0.8262,0.8043,0.92,0.86,0.92,0.86,0.91,0.84,-0.010000000000000009,-0.010000000000000009,-0.020000000000000018,-0.020000000000000018,0.00014955963193031698,0.053317363970971615,0.05346692360290193,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_2_3_plus_0_on_stripe,"client_2,client_3",2,client_0,stripe,50,50,0.8262,0.8043,0.94,0.88,0.94,0.88,0.93,0.86,-0.009999999999999898,-0.009999999999999898,-0.020000000000000018,-0.020000000000000018,0.0001126535541699376,0.03965182804048833,0.039764481594658264,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_2_4_plus_0_on_stripe,"client_2,client_4",2,client_0,stripe,50,50,0.8262,0.8043,0.95,0.9,0.95,0.9,0.94,0.88,-0.010000000000000009,-0.010000000000000009,-0.020000000000000018,-0.020000000000000018,0.0001247931020937434,0.04733205873451303,0.04745685183660677,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_3_4_plus_0_on_stripe,"client_3,client_4",2,client_0,stripe,50,50,0.8262,0.8043,0.94,0.88,0.94,0.88,0.93,0.86,-0.009999999999999898,-0.009999999999999898,-0.020000000000000018,-0.020000000000000018,0.00013586094995780718,0.04766239146856241,0.04779825241852022,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_1_2_3_plus_0_on_stripe,"client_1,client_2,client_3",3,client_0,stripe,50,50,0.8262,0.8043,0.94,0.88,0.94,0.88,0.94,0.88,0.0,0.0,0.0,0.0,0.00022076163686378324,0.04585176124923081,0.04607252288609459,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_1_2_4_plus_0_on_stripe,"client_1,client_2,client_4",3,client_0,stripe,50,50,0.8262,0.8043,0.95,0.9,0.95,0.9,0.94,0.88,-0.010000000000000009,-0.010000000000000009,-0.020000000000000018,-0.020000000000000018,0.00023041729139906518,0.051809204025282884,0.05203962131668195,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_1_3_4_plus_0_on_stripe,"client_1,client_3,client_4",3,client_0,stripe,50,50,0.8262,0.8043,0.94,0.88,0.94,0.88,0.94,0.88,0.0,0.0,0.0,0.0,0.000237939988303369,0.05778208460664103,0.0580200245949444,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_2_3_4_plus_0_on_stripe,"client_2,client_3,client_4",3,client_0,stripe,50,50,0.8262,0.8043,0.94,0.88,0.94,0.88,0.94,0.88,0.0,0.0,0.0,0.0,0.00021723723744227155,0.051819090999844025,0.052036328237286295,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_1_2_3_4_plus_0_on_stripe,"client_1,client_2,client_3,client_4",4,client_0,stripe,50,50,0.8262,0.8043,0.94,0.88,0.94,0.88,0.94,0.88,0.0,0.0,0.0,0.0,0.0003001200739096516,0.05560321322690125,0.0559033333008109,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_stripe
tent,perf_1_plus_0_on_zigzag,client_1,1,client_0,zigzag,50,50,0.8229,0.8527,0.9,0.82,0.9,0.82,0.91,0.84,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.020000000000000018,4.55042347391282e-05,0.03218841719830295,0.03223392143304207,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_2_plus_0_on_zigzag,client_2,1,client_0,zigzag,50,50,0.8229,0.8527,0.89,0.78,0.9,0.8,0.88,0.76,-0.010000000000000009,-0.020000000000000018,-0.020000000000000018,-0.040000000000000036,2.0642804393469558e-05,0.025518470866954267,0.025539113671347737,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_3_plus_0_on_zigzag,client_3,1,client_0,zigzag,50,50,0.8229,0.8527,0.9,0.8,0.91,0.82,0.89,0.78,-0.010000000000000009,-0.020000000000000018,-0.020000000000000018,-0.039999999999999925,2.9095285933283444e-05,0.033099626848445286,0.03312872213437857,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_4_plus_0_on_zigzag,client_4,1,client_0,zigzag,50,50,0.8229,0.8527,0.9,0.8,0.92,0.84,0.88,0.76,-0.020000000000000018,-0.040000000000000036,-0.040000000000000036,-0.07999999999999996,3.517293562926736e-05,0.03589364709782213,0.0359288200334514,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
