method,technique,accuracy,precision,recall,f1
TTA Grad,rule_based,0.3897,0.2855,0.0897,0.1366
TTA Grad,inference_based,0.3525,0.3784,0.3178,0.3455
TTA Grad,semantic_based,0.5611,0.5955,0.573,0.584
TTA Grad,similarity_based,0.4593,0.4969,0.4472,0.4707
TTA Grad,CATTM,0.6819,0.9826,0.6857,0.8077
TTA-BN,rule_based,0.4317,0.4683,0.4203,0.443
TTA-BN,inference_based,0.3519,0.3792,0.3221,0.3484
TTA-BN,semantic_based,0.5705,0.5987,0.6106,0.6046
TTA-BN,similarity_based,0.4599,0.4975,0.4286,0.4605
TTA-BN,CATTM,0.8259,0.9884,0.831,0.9029
TTA-MEMO,rule_based,0.3919,0.3588,0.1662,0.2271
TTA-MEMO,inference_based,0.3526,0.3739,0.3023,0.3343
TTA-MEMO,semantic_based,0.562,0.5966,0.5726,0.5844
TTA-MEMO,similarity_based,0.4432,0.4783,0.3914,0.4305
TTA-MEMO,CATTM,0.7679,0.9876,0.7715,0.8663
