profile_id,composition_name,combination_size,corruption_category,before_accuracy,after_corruption_accuracy,after_substitution_accuracy,accuracy_drop,accuracy_recovery,recovery_ratio,failing_client,recommended_substitute_service,recommended_substitute_client,recommended_substitute_checkpoint,selection_rule,selection_score,candidate_pool_size,candidate_scan_count,num_substitutions,qos_similarity_ratio,data_similarity_ratio,substitution_similarity_ratio,low_similarity_substitute,selection_time_seconds,aggregation_time_seconds,evaluation_time_seconds,case_time_seconds,substituted_latency_seconds,remaining_clients,substituted_client_set
size1_C1,C1,1,translate,0.9863,0.61,0.95,0.37629999999999997,0.33999999999999997,0.9035344140313579,"[""client_0""]","[""translate12""]","[""client_2""]","[""client_2_round_3.pt""]",semantic_qos_distance,-0.022685695849313185,435,12,1,97.78175289422883,88.31440987664593,92.57471423455824,False,0.0012507079999997117,0.007775458000000235,0.04255758299999979,0.3162650420000004,0.042524250000000485,[],"[""client_2""]"
size2_C1_C2,C1_C2,2,translate,0.9878,0.61,0.81,0.3778,0.20000000000000007,0.5293806246691373,"[""client_1""]","[""translate14""]","[""client_3""]","[""client_3_round_2.pt""]",semantic_qos_distance,-0.031424173111773424,410,12,1,96.95332202492717,83.25503384735538,89.41926352726269,False,0.0009922080000004385,0.007721250000000346,0.0390437919999993,0.08811562500000036,0.03900249999999961,"[""client_0""]","[""client_0"", ""client_3""]"
size3_C1_C2_C3,C1_C2_C3,3,translate,0.9896,0.61,0.7,0.37960000000000005,0.08999999999999997,0.2370916754478397,"[""client_1""]","[""translate14""]","[""client_3""]","[""client_3_round_2.pt""]",semantic_qos_distance,-0.031424173111773424,385,12,1,96.95332202492717,83.25503384735538,89.41926352726269,False,0.0009157919999998043,0.007734250000000387,0.03981820899999988,0.09214045800000026,0.039786125000000006,"[""client_0"", ""client_2""]","[""client_0"", ""client_2"", ""client_3""]"
size3_C1_C2_C4,C1_C2_C4,3,translate,0.9905,0.57,0.7,0.4205000000000001,0.13,0.30915576694411406,"[""client_3""]","[""translate20""]","[""client_4""]","[""client_4_round_3.pt""]",semantic_qos_distance,-0.02542932712384774,385,12,1,97.52012874498405,85.71957116762054,91.02982207743412,False,0.0008999999999996788,0.007725917000000138,0.041771124999999465,0.0907535829999997,0.04173749999999998,"[""client_0"", ""client_1""]","[""client_0"", ""client_1"", ""client_4""]"
size3_C1_C2_C5,C1_C2_C5,3,translate,0.9899,0.66,0.71,0.32989999999999997,0.04999999999999993,0.15156107911488312,"[""client_1""]","[""translate14""]","[""client_3""]","[""client_3_round_2.pt""]",semantic_qos_distance,-0.031424173111773424,385,12,1,96.95332202492717,83.25503384735538,89.41926352726269,False,0.0008829590000001275,0.006924208999999237,0.04011504099999996,0.0870010419999998,0.040073167000000076,"[""client_0"", ""client_4""]","[""client_0"", ""client_4"", ""client_3""]"
size2_C1_C3,C1_C3,2,translate,0.9887,0.62,0.62,0.3687,0.0,0.0,"[""client_0""]","[""clean+translate309""]","[""client_4""]","[""client_4_round_15.pt""]",semantic_qos_distance,-0.034430045770508094,410,12,1,96.6715926406737,72.39644288190217,83.32026027334936,False,0.0009489580000003883,0.005890499999999577,0.0409379999999997,0.08737279200000003,0.040899458000000166,"[""client_2""]","[""client_2"", ""client_4""]"
size3_C1_C3_C4,C1_C3_C4,3,translate,0.9897,0.56,0.69,0.42969999999999997,0.1299999999999999,0.3025366534791713,"[""client_3""]","[""translate20""]","[""client_4""]","[""client_4_round_3.pt""]",semantic_qos_distance,-0.02542932712384774,385,12,1,97.52012874498405,85.71957116762054,91.02982207743412,False,0.0008964170000007599,0.006216417000000085,0.039693999999999896,0.08701950000000025,0.03965716699999966,"[""client_0"", ""client_2""]","[""client_0"", ""client_2"", ""client_4""]"
size3_C1_C3_C5,C1_C3_C5,3,translate,0.9906,0.63,0.66,0.36060000000000003,0.030000000000000027,0.08319467554076546,"[""client_0""]","[""translate7""]","[""client_1""]","[""client_1.pt""]",semantic_qos_distance,-0.03463793243033055,385,12,1,96.65216871094536,87.64549809458966,91.69849987194974,False,0.0009052500000006347,0.006888416999999869,0.039493790999999945,0.08723391700000072,0.039458125000000344,"[""client_2"", ""client_4""]","[""client_2"", ""client_4"", ""client_1""]"
size2_C1_C4,C1_C4,2,translate,0.9892,0.57,0.79,0.4192,0.22000000000000008,0.5248091603053436,"[""client_3""]","[""translate20""]","[""client_4""]","[""client_4_round_3.pt""]",semantic_qos_distance,-0.02542932712384774,410,12,1,97.52012874498405,85.71957116762054,91.02982207743412,False,0.0009454590000004259,0.0047601670000005925,0.03883187499999963,0.08381195800000008,0.03879708399999959,"[""client_0""]","[""client_0"", ""client_4""]"
size3_C1_C4_C5,C1_C4_C5,3,translate,0.99,0.62,0.69,0.37,0.06999999999999995,0.18918918918918906,"[""client_3""]","[""clean+translate373""]","[""client_7""]","[""client_7_round_16.pt""]",semantic_qos_distance,-0.03784084793572934,385,12,1,96.35388720621327,72.90856112092919,83.45895785930703,False,0.0008932499999998456,0.006474833000000402,0.04049820799999981,0.08804533300000017,0.04043358300000044,"[""client_0"", ""client_4""]","[""client_0"", ""client_4"", ""client_7""]"
