profile_id,composition_name,combination_size,corruption_category,before_accuracy,before_reliability_score,before_latency_seconds,after_corruption_accuracy,after_corruption_latency_seconds,accuracy_drop,weights_file
size3_C1_C2_C5,C1_C2_C5,3,translate,0.9899,0.983477889,4.20211975,0.559,3.8476303749999943,0.43089999999999995,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C2_C5.pt
size3_C1_C2_C5,C1_C2_C5,3,stripe,0.9899,0.983477889,4.20211975,0.8863,3.8946138750000046,0.10360000000000003,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C2_C5.pt
size3_C1_C2_C5,C1_C2_C5,3,zigzag,0.9899,0.983477889,4.20211975,0.8369,4.277924500000012,0.15300000000000002,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C2_C5.pt
size3_C1_C2_C5,C1_C2_C5,3,spatter,0.9899,0.983477889,4.20211975,0.9763,4.3366048329999956,0.013600000000000056,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C2_C5.pt
size2_C1_C3,C1_C3,2,fog,0.9887,0.981701752,4.196738875,0.1339,3.953449708999983,0.8548,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C3.pt
size2_C1_C3,C1_C3,2,translate,0.9887,0.981701752,4.196738875,0.5682,5.429943916999974,0.4205,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C3.pt
size2_C1_C3,C1_C3,2,stripe,0.9887,0.981701752,4.196738875,0.8863,4.0275015,0.10240000000000005,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C3.pt
size2_C1_C3,C1_C3,2,zigzag,0.9887,0.981701752,4.196738875,0.8454,4.373880082999989,0.14329999999999998,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C3.pt
size2_C1_C3,C1_C3,2,spatter,0.9887,0.981701752,4.196738875,0.976,4.04645362499997,0.012700000000000045,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C3.pt
size3_C1_C3_C4,C1_C3_C4,3,fog,0.9897,0.981701752,4.131392709,0.1492,4.020537290999982,0.8405,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C3_C4.pt
size3_C1_C3_C4,C1_C3_C4,3,translate,0.9897,0.981701752,4.131392709,0.5611,4.487494916000003,0.4286,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C3_C4.pt
size3_C1_C3_C4,C1_C3_C4,3,stripe,0.9897,0.981701752,4.131392709,0.9088,3.9608806250000157,0.08089999999999997,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C3_C4.pt
size3_C1_C3_C4,C1_C3_C4,3,zigzag,0.9897,0.981701752,4.131392709,0.8585,3.909576958999992,0.13119999999999998,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C3_C4.pt
size3_C1_C3_C4,C1_C3_C4,3,spatter,0.9897,0.981701752,4.131392709,0.9773,4.1989347079999675,0.012400000000000078,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C3_C4.pt
size3_C1_C3_C5,C1_C3_C5,3,fog,0.9906,0.983477889,4.312754416,0.1372,4.090203791999954,0.8534,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C3_C5.pt
size3_C1_C3_C5,C1_C3_C5,3,translate,0.9906,0.983477889,4.312754416,0.5694,3.719209167000031,0.4212,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C3_C5.pt
size3_C1_C3_C5,C1_C3_C5,3,stripe,0.9906,0.983477889,4.312754416,0.8926,4.215936082999974,0.09800000000000009,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C3_C5.pt
size3_C1_C3_C5,C1_C3_C5,3,zigzag,0.9906,0.983477889,4.312754416,0.845,4.463212499999997,0.14560000000000006,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C3_C5.pt
size3_C1_C3_C5,C1_C3_C5,3,spatter,0.9906,0.983477889,4.312754416,0.9777,3.929595209000013,0.012900000000000023,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C3_C5.pt
size2_C1_C4,C1_C4,2,fog,0.9892,0.980226973,4.571387,0.1341,4.145572666000021,0.8551,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C4.pt
size2_C1_C4,C1_C4,2,translate,0.9892,0.980226973,4.571387,0.5629,4.048207375000004,0.4263,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C4.pt
size2_C1_C4,C1_C4,2,stripe,0.9892,0.980226973,4.571387,0.9145,4.215330750000021,0.07469999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C4.pt
size2_C1_C4,C1_C4,2,zigzag,0.9892,0.980226973,4.571387,0.8603,5.065939333000017,0.12890000000000001,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C4.pt
size2_C1_C4,C1_C4,2,spatter,0.9892,0.980226973,4.571387,0.9763,4.682631041000036,0.012900000000000023,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C4.pt
size3_C1_C4_C5,C1_C4_C5,3,fog,0.99,0.98339499,4.253048041,0.1386,4.00908016599999,0.8513999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C4_C5.pt
size3_C1_C4_C5,C1_C4_C5,3,translate,0.99,0.98339499,4.253048041,0.5696,4.200973832999978,0.4204,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C4_C5.pt
size3_C1_C4_C5,C1_C4_C5,3,stripe,0.99,0.98339499,4.253048041,0.912,3.741007792000005,0.07799999999999996,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C4_C5.pt
size3_C1_C4_C5,C1_C4_C5,3,zigzag,0.99,0.98339499,4.253048041,0.8569,3.849562208000009,0.1331,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C4_C5.pt
size3_C1_C4_C5,C1_C4_C5,3,spatter,0.99,0.98339499,4.253048041,0.9787,3.900867875000017,0.011299999999999977,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C4_C5.pt
size2_C1_C5,C1_C5,2,fog,0.9897,0.983477889,4.429107583,0.1234,3.727125624999985,0.8663000000000001,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C5.pt
size2_C1_C5,C1_C5,2,translate,0.9897,0.983477889,4.429107583,0.5665,3.7116004590000102,0.4232,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C5.pt
size2_C1_C5,C1_C5,2,stripe,0.9897,0.983477889,4.429107583,0.8797,3.7454875839999886,0.10999999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C5.pt
size2_C1_C5,C1_C5,2,zigzag,0.9897,0.983477889,4.429107583,0.8345,3.930229083000029,0.1552,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C5.pt
size2_C1_C5,C1_C5,2,spatter,0.9897,0.983477889,4.429107583,0.9767,3.9808099170000446,0.013000000000000012,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C5.pt
size1_C2,C2,1,fog,0.9843,0.984754082,4.146933667,0.1736,3.799602082999968,0.8107,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C2.pt
size1_C2,C2,1,translate,0.9843,0.984754082,4.146933667,0.5138,3.7060108329999935,0.4704999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C2.pt
size1_C2,C2,1,stripe,0.9843,0.984754082,4.146933667,0.8793,3.7556258330000105,0.10499999999999998,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C2.pt
size1_C2,C2,1,zigzag,0.9843,0.984754082,4.146933667,0.8231,3.85042520799999,0.1611999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C2.pt
size1_C2,C2,1,spatter,0.9843,0.984754082,4.146933667,0.9624,3.9830504999999903,0.02189999999999992,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C2.pt
size2_C2_C3,C2_C3,2,fog,0.9883,0.98339499,4.151398542,0.1813,3.6961517089999347,0.8069999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C3.pt
size2_C2_C3,C2_C3,2,translate,0.9883,0.98339499,4.151398542,0.552,3.7262517079999498,0.4362999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C3.pt
size2_C2_C3,C2_C3,2,stripe,0.9883,0.98339499,4.151398542,0.887,3.8595540830000346,0.10129999999999995,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C3.pt
size2_C2_C3,C2_C3,2,zigzag,0.9883,0.98339499,4.151398542,0.8438,4.0731918750000204,0.14449999999999996,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C3.pt
size2_C2_C3,C2_C3,2,spatter,0.9883,0.98339499,4.151398542,0.9753,3.9295682499999884,0.013000000000000012,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C3.pt
