profile_id,composition_name,combination_size,corruption_category,before_accuracy,before_reliability_score,before_latency_seconds,after_corruption_accuracy,after_corruption_latency_seconds,accuracy_drop,weights_file
size1_C1,C1,1,translate,0.9863,0.9833949896476499,6.914540834,0.61,0.27361291600000026,0.37629999999999997,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size1_C1.pt
size2_C1_C2,C1_C2,2,translate,0.9878,0.9833949896476499,5.578664000000002,0.61,0.04371845799999985,0.3778,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C1_C2.pt
size3_C1_C2_C3,C1_C2_C3,3,translate,0.9896,0.9833949896476499,5.336767416000001,0.61,0.042981291000000255,0.37960000000000005,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C2_C3.pt
size3_C1_C2_C4,C1_C2_C4,3,translate,0.9905,0.9834778888552207,5.252446124999999,0.57,0.06780862499999962,0.4205000000000001,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C2_C4.pt
size3_C1_C2_C5,C1_C2_C5,3,translate,0.9899,0.9834778888552207,5.462247417,0.66,0.044061915999999535,0.32989999999999997,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C2_C5.pt
size2_C1_C3,C1_C3,2,translate,0.9887,0.9817017518131382,5.688145792,0.62,0.04096633300000008,0.3687,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C1_C3.pt
size3_C1_C3_C4,C1_C3_C4,3,translate,0.9897,0.9817017518131382,5.744740583000009,0.56,0.041222707999999386,0.42969999999999997,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C3_C4.pt
size3_C1_C3_C5,C1_C3_C5,3,translate,0.9906,0.9834778888552207,5.65536075,0.63,0.04060320900000036,0.36060000000000003,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C3_C5.pt
size2_C1_C4,C1_C4,2,translate,0.9892,0.9802269734000365,5.484987416999999,0.57,0.041870957999999625,0.4192,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C1_C4.pt
size3_C1_C4_C5,C1_C4_C5,3,translate,0.99,0.9833949896476499,4.959110166000002,0.62,0.040880750000000354,0.37,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C4_C5.pt
size2_C1_C5,C1_C5,2,translate,0.9897,0.9834778888552207,4.9483259999999945,0.67,0.040631292000000485,0.3197,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C1_C5.pt
size1_C2,C2,1,translate,0.9843,0.9847540819715923,5.3007846249999915,0.55,0.04096170800000021,0.4342999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size1_C2.pt
size2_C2_C3,C2_C3,2,translate,0.9883,0.9833949896476499,5.683763499999998,0.56,0.03932162499999947,0.4282999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C2_C3.pt
size3_C2_C3_C4,C2_C3_C4,3,translate,0.9893,0.9817017518131382,6.623418874999999,0.56,0.05625741600000023,0.4292999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C2_C3_C4.pt
size3_C2_C3_C5,C2_C3_C5,3,translate,0.9889,0.9834778888552207,5.798206250000007,0.6,0.04307508399999982,0.3889,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C2_C3_C5.pt
size2_C2_C4,C2_C4,2,translate,0.9888,0.9817017518131382,4.665962124999993,0.57,0.04302466700000007,0.41880000000000006,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C2_C4.pt
size3_C2_C4_C5,C2_C4_C5,3,translate,0.9896,0.9816217113754138,4.693135417000008,0.59,0.043809458000000134,0.39960000000000007,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C2_C4_C5.pt
size2_C2_C5,C2_C5,2,translate,0.9882,0.9834778888552207,4.851030917000003,0.57,0.039767792000000135,0.4182,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C2_C5.pt
size1_C3,C3,1,translate,0.9872,0.9744737928719452,4.886818666000011,0.58,0.04719383300000057,0.4072,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size1_C3.pt
size2_C3_C4,C3_C4,2,translate,0.9871,0.9744737928719452,4.5866827090000015,0.57,0.04354016599999966,0.4171,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C3_C4.pt
size3_C3_C4_C5,C3_C4_C5,3,translate,0.9897,0.9793654020996376,5.230787415999998,0.56,0.04217308299999978,0.42969999999999997,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C3_C4_C5.pt
size2_C3_C5,C3_C5,2,translate,0.9886,0.9816217113754138,4.743461209000003,0.61,0.040819209000000356,0.37860000000000005,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C3_C5.pt
size1_C4,C4,1,translate,0.9779,0.9785537725715294,4.699641791000005,0.56,0.041041792000000576,0.41789999999999994,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size1_C4.pt
size2_C4_C5,C4_C5,2,translate,0.989,0.979575279530255,5.178632582999995,0.56,0.0400014999999998,0.42899999999999994,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C4_C5.pt
size1_C5,C5,1,translate,0.9868,0.9834778888552207,7.331302749999992,0.59,0.061805917000000044,0.39680000000000004,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size1_C5.pt
size4_C1_C2_C4_C5,C1_C2_C4_C5,4,translate,0.9906,0.9834778888552207,5.123578625,0.61,0.04068854100000063,0.38060000000000005,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size4_C1_C2_C4_C5.pt
