adapted_case,composition_name,prediction_distribution_similarity,weight_cosine_similarity,quality_gap,reliability_gap,latency_similarity,entropy_gap,rule_score,rule_composable,inference_score,inference_composable,semantic_score,semantic_composable,similarity_score,similarity_composable,mlaas_score,mlaas_composable
client_0_brightness,C1,0.6754,0.9999999693563962,0.2930282386068967,0.8776152286860304,0.9828842428463733,0.05561361706607415,0.3833333333333333,False,0.1,False,0.9350800000000001,True,0.8634529516807591,False,0.7691043403630171,False
client_0_brightness,C1_C2,0.7008000000000001,0.9959946028251605,0.2675561575424489,0.8421111129720478,0.4980753071758144,0.02472017387990233,0.3083333333333333,False,0.1,False,0.9401600000000001,True,0.6736675183946463,False,0.685066307706946,False
client_0_brightness,C1_C2_C3,0.6975,0.9948486198659323,0.24642059787786783,0.8281733419537646,0.33275397662515693,0.05238096870643072,0.3083333333333333,False,0.0,False,0.9395,True,0.6389093615143187,False,0.6567337340397135,False
client_0_brightness,C1_C2_C3_C4,0.6591,0.9942271032371011,0.24628555768371574,0.8169142202788503,0.24663940272381799,0.054429111995969115,0.3083333333333333,False,0.0,False,0.9318200000000001,True,0.6014495673811436,False,0.6328594361400012,False
client_0_brightness,C1_C2_C3_C4_C5,0.6456999999999999,0.9938719926801562,0.24094579641362635,0.8094953135847681,0.2015964382613304,0.05882062007009181,0.3083333333333333,False,0.0,False,0.9291400000000001,True,0.5778187043440676,False,0.6229096640595407,False
client_0_brightness,C1_C2_C3_C5,0.6726000000000001,0.9942500654558994,0.23894288107662298,0.8022239729289874,0.24610792903177445,0.05957939173313509,0.3083333333333333,False,0.0,False,0.93452,True,0.6104505612122905,False,0.638395293901757,False
client_0_brightness,C1_C2_C4,0.6501,0.9947667987634355,0.26189166977993517,0.8364268816725989,0.3310748304024834,0.03820428166065959,0.3083333333333333,False,0.0,False,0.9300200000000001,True,0.6220965408353833,False,0.6429819722223824,False
client_0_brightness,C1_C2_C4_C5,0.6396999999999999,0.9941827310700503,0.24999651707979012,0.8150496111729377,0.250028305946359,0.0533919038583438,0.3083333333333333,False,0.0,False,0.92794,True,0.5990622837119909,False,0.6290926113824756,False
client_0_brightness,C1_C2_C5,0.6792,0.9947995220608281,0.24909302433990754,0.8137460276191002,0.33238812427911124,0.05352160432104691,0.3083333333333333,False,0.0,False,0.93584,True,0.6397464090971653,False,0.653898990150542,False
client_0_brightness,C1_C3,0.7279,0.9961630929185212,0.25603770434740486,0.8366437742790327,0.5022086394377944,0.03887460146545063,0.3833333333333333,False,0.1,False,0.9455800000000001,True,0.6808397710994234,False,0.6941970966863245,False
client_0_brightness,C1_C3_C4,0.6617999999999999,0.9948952681599943,0.25103860319095056,0.8321252377561563,0.33008870779377786,0.050171932528417895,0.3083333333333333,False,0.0,False,0.9323600000000001,True,0.6288742585402488,False,0.6477512192893943,False
client_0_brightness,C1_C3_C4_C5,0.6505,0.9942557697807967,0.24558815161450742,0.8118150884435149,0.24945292537991523,0.05557433011927104,0.3083333333333333,False,0.0,False,0.9301000000000001,True,0.6030568151398333,False,0.632357268377335,False
client_0_brightness,C1_C3_C5,0.6854,0.9948763335157228,0.24880033339478136,0.8175076121332837,0.3375234786440218,0.054230589319243405,0.3083333333333333,False,0.0,False,0.9370800000000001,True,0.6413774693910469,False,0.6558638030521098,False
client_0_brightness,C1_C4,0.6456000000000001,0.9960812384724479,0.27184940171214594,0.8545502590331746,0.507684140361377,0.020021674114382493,0.3833333333333333,False,0.1,False,0.9291200000000002,True,0.6586624782206221,False,0.6738628380334639,False
client_0_brightness,C1_C4_C5,0.6453,0.9948017193863614,0.2558680782893096,0.8229399572301375,0.3367039733754108,0.047361749755106874,0.3083333333333333,False,0.0,False,0.92906,True,0.6299942089130833,False,0.6457081956839243,False
client_0_brightness,C1_C5,0.6960999999999999,0.9960209110252953,0.262814658468874,0.8304834979619761,0.5014621838803442,0.04133643688610822,0.3833333333333333,False,0.1,False,0.9392200000000002,True,0.6753590236469353,False,0.6869200060036011,False
client_0_brightness,C2,0.542,0.9846705042008846,0.28951171959591204,0.8812243572614782,0.9885688971978847,0.005930173458720711,0.3833333333333333,False,0.1,False,0.8384000000000001,False,0.6929747165133748,False,0.7408377691468692,False
client_0_brightness,C2_C3,0.6013,0.9885692156667896,0.25774891600927424,0.8304242689149142,0.4991282109592713,0.041858254245594084,0.3083333333333333,False,0.1,False,0.8502600000000001,False,0.6546905467507589,False,0.6670219437443115,False
client_0_brightness,C2_C3_C4,0.5869,0.989827465678238,0.2539763394211461,0.8275461430577944,0.33471000791105854,0.04499495709145873,0.3083333333333333,False,0.0,False,0.8473800000000001,False,0.6147653566602588,False,0.6325522810402961,False
client_0_brightness,C2_C3_C4_C5,0.5962000000000001,0.9905241401048783,0.24837936562586918,0.8130320659568829,0.25157575245927294,0.05103157423451232,0.3083333333333333,False,0.0,False,0.8492400000000001,False,0.5901718119501741,False,0.6204955673044137,False
client_0_brightness,C2_C3_C5,0.6048,0.9899342057620184,0.24840691619747407,0.8197018183068973,0.3373218547227589,0.05054285831127603,0.3083333333333333,False,0.0,False,0.85096,False,0.6230723281233856,False,0.6385743155392165,False
client_0_brightness,C2_C4,0.5466000000000001,0.9884427916494068,0.27542951640133406,0.8574111876883764,0.508912441281006,0.017392530598016487,0.3833333333333333,False,0.1,False,0.8393200000000002,False,0.6355072003913642,False,0.6517786930494236,False
client_0_brightness,C2_C4_C5,0.5642,0.9898401659419792,0.2615282676964149,0.826387709318009,0.33269208474567974,0.0393466433745272,0.3083333333333333,False,0.0,False,0.8428400000000001,False,0.6082537386296537,False,0.6262166941788934,False
client_0_brightness,C2_C5,0.5683999999999999,0.9886614960582236,0.26307431097833417,0.8341373395311925,0.49687307072345266,0.03523391420323996,0.3083333333333333,False,0.1,False,0.8436800000000001,False,0.6470551375527167,False,0.6585729857199947,False
client_0_brightness,C3,0.5539,0.9846967820264911,0.27911162582809584,0.8617991499430759,0.9968794934329677,0.003038039461586761,0.3833333333333333,False,0.1,False,0.8407800000000001,False,0.7063682749226441,False,0.7489076834444106,False
client_0_brightness,C3_C4,0.5592999999999999,0.9885689277803508,0.263543566871314,0.8413254247846571,0.5058770059326436,0.035261281074731254,0.3833333333333333,False,0.1,False,0.84186,False,0.6436891415187659,False,0.657722599402316,False
client_0_brightness,C3_C4_C5,0.5781000000000001,0.9898995786580135,0.25492183699510373,0.8302501963083898,0.338301080206442,0.041664331632703555,0.3083333333333333,False,0.0,False,0.8456200000000001,False,0.6126821951459508,False,0.6310654132554769,False
client_0_brightness,C3_C5,0.5826,0.9886790168838342,0.2628628392221998,0.8416820774882288,0.5083874433599428,0.03021111340199234,0.3833333333333333,False,0.1,False,0.84652,False,0.6499058070413208,False,0.6630071849679382,False
