technique,score_threshold_rule,truth_threshold_rule,accuracy,precision,recall,f1
rule_based,mean,mean,0.3526451612903226,0.3627737226277372,0.23305978898007035,0.28379728765167744
inference_based,mean,mean,0.3460645161290323,0.3940633245382586,0.35017584994138334,0.3708255741775295
semantic_based,mean,mean,0.6114838709677419,0.65675,0.6159437280187573,0.6356926799758016
similarity_based,mean,mean,0.3141935483870968,0.3090909090909091,0.19929660023446658,0.24233784746970774
mlaas_based,mean,mean,0.29870967741935484,0.271484375,0.16295427901524032,0.2036630036630037
CATTM,mean_minus_16pct,mean_minus_16pct,0.813741935483871,0.9488274706867672,0.8327085630282984,0.8869837541593266
